company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,founder3,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
TartanSense,Agriculture,Artificial Intelligence (AI),Bangalore,Karnataka,TartanSense is an AI powered robotics solutions provider empowering small farm holders.,—,—,2015,www.tartansense.com/,1,Jaisimha Rao,,,Nov-50,2,Early Stage Venture,"Aug 25, 2021","$ 50,60,000.00",Series A,"$ 70,60,000.00",Blume Ventures,Omnivore,BEENEXT,FMC Ventures,,4
smallcase,Financial Services,Stock Exchanges,Bangalore,Karnataka,smallcase is a wealth management startup that focuses on equitable investing in India.,—,$1M to $10M,2015,www.smallcase.com/,3,Anugrah Shrivastava,Rohan Gupta,Vasanth Kamath,101-250,5,Late Stage Venture,"Aug 18, 2021","$ 4,00,00,000.00",Series C,"$ 6,20,00,000.00",HDFC Bank,Rainmatter Capital,Blume Ventures,PremjiInvest,BEENEXT,15
Rentickle,Electronics,Furniture,Gurgaon,Haryana,Brand New Furniture and Appliances on Rent.,122018,—,2015,www.rentickle.com/,2,Amit Sodhi,Vineet Chawla,,51-100,3,—,"Dec 4, 2017","$ 40,00,000.00",Venture - Series Unknown,"$ 42,50,000.00",DMI Finance,ThinKuvate,Manish Khetrapal,Ajay Relan,Sandeep Gupta,7
CBREX,Internet,Recruiting,Mumbai,Maharashtra,CBREX is a technology platform that helps recruitment firms across countries collaborate and earn.,—,$1M to $10M,2015,www.cbr.exchange/,4,Anand Karunjay,Chandan Sardeshmukh,Gautam Sinha,Nov-50,3,Seed,"Nov 29, 2022","$ 30,00,000.00",Seed,"$ 43,00,000.00",WaterBridge Ventures,Vikram Chachra,Prahlad Rao,Sundara Rajan,,4
Utter,Apps,Chatbot,Pune,Maharashtra,Utter is an english learning app that allows learners to pick topics of their interest and converse with chatbots and live tutors.,412115,—,"Mar 1, 2015",www.utter.in,2,Amit Bhadbhade,Ninad Vengurlekar,,Nov-50,5,—,"Jan 1, 2019",—,Venture - Series Unknown,"$ 15,34,148.00",Unitus Ventures,GenNext Ventures,,,,2
Arth,Finance,Financial Services,Lucknow,Uttar Pradesh,Arth is a financing company that provides loans and lending solutions to micro-entrepreneurs.,226012,$1M to $10M,2015,arthdigital.net/,—,,,,Nov-50,1,Seed,"Jun 7, 2022","$ 25,00,000.00",Seed,"$ 25,00,000.00",KFW DEG,MIT Alumni Angels,,,,2
Cron AI,Artificial Intelligence (AI),Semiconductor,New Delhi,Delhi,CronAI develops 3D data perception platforms to help machines perceive and learn unknown environments on the edge enabling innovators.,110068,$1M to $10M,2015,www.cronai.ai,2,Saurav Agarwala,Tushar Chhabra,,Nov-50,1,Early Stage Venture,"May 11, 2021","$ 40,00,000.00",Series A,"$ 40,00,000.00",VenturEast,YourNest Venture Capital,Kitaki Ventures,,,3
Zlade,Personal Health,,Pune,Maharashtra,"Zlade offers both male and female skincare products, as well as Ballistic trimmers.",411004,—,2015,shopzlade.com/,—,,,,Nov-50,2,—,"Jan 16, 2023","₹ 12,30,00,000.00",Venture - Series Unknown,"₹ 13,40,00,000.00",Velocity,Shivanssh,Amit Kalyani,,,3
RentSher,E-Commerce,Internet,Bangalore,Karnataka,P2P Online Rentals for Anything & Everything,560077,—,"Dec 19, 2014",www.rentsher.com,3,Abhijit Shaha,Harsh Dhand,Karandeep Singh Vohra,01-Oct,2,Seed,"Jun 19, 2018","$ 11,00,000.00",Seed,"$ 14,00,000.00",Abhay Singhal,Vibhav Joshi,Abhishek Acharya,Joby Babu,,4
DoctorC,Consulting,Health Care,Hyderabad,Andhra Pradesh,"DoctorC is a healthcare and hospital company that offers diagnostic center for CT scan, X-ray test, and MRI test.",500033,$1M to $10M,"Aug 1, 2014",www.doctorc.in,3,Karan Kurani,Mansi Gandhi,Neehar Cherabuddi,101-250,5,Seed,"Mar 31, 2018","$ 4,92,000.00",Seed,"$ 14,77,600.00",Perot Jain,Anil Dharni,Splice Capital,Ram Gudavalli,Sanjay Jesrani,7
Wikka,Cosmetics,E-Commerce,Delhi,Delhi,Wikka is a personal care product company.,110030,$1M to $10M,"Jun 1, 2015",wikka.in,2,Akshay Vir Singh Tyagi,Rupal Shabnam Tyagi,,01-Oct,1,Seed,"May 15, 2020","₹ 20,00,00,000.00",Seed,"₹ 20,00,00,000.00",Foxhog Ventures Corp.,,,,,1
WayCool,Agriculture,AgTech,Chennai,Tamil Nadu,"WayCool is a developer of a tech-enabled supply chain approach that produces staples like rice, dairy, and value added products.",600017,$1M to $10M,Jul-15,waycool.in/,2,Karthik Jayaraman,Sanjay Dasari,,1001-5000,24,—,"Aug 25, 2022","₹ 95,00,00,000.00",Venture - Series Unknown,"$ 36,32,43,706.00",RBL Bank,IndusInd Bank,Samunnati,Northern Arc,Stride Ventures,19
Shopconnect,E-Commerce,Enterprise Software,Bangalore,Karnataka,ShopConnect is a next-generation interactive ecommerce and video collaboration platform,560075,$1M to $10M,"Jun 17, 2015",www.shopconnect.live,3,Dilli Babu Nandarapu,Hema SiddaReddy,Venkat Reddy Chintalapudi,51-100,2,Seed,"Dec 15, 2021","$ 15,00,000.00",Seed,"$ 30,00,000.00",IBS Software Services,,,,,1
Chtrbox,Advertising,Internet,Mumbai,Maharashtra,Chtrbox connects social media influencers with brands .,400053,Less than $1M,2015,www.chtrbox.com/,2,Pranay Swarup,Rohit Raj,,Nov-50,2,M&A,"May 23, 2018","₹ 1,00,00,000.00",Angel,"₹ 2,00,00,000.00",Roshan Abbas,Gaurav Kapur,Rohit Raj,,,3
Quicko,Accounting,Financial Services,Ahmedabad,Gujarat,"Quicko is a tax planning, preparation, GST, and TDS filing platform for individuals and businesses.",380015,$1M to $10M,"Mar 19, 2015",quicko.com,1,Vishvajit Sonagara,,,51-100,1,Seed,"Dec 30, 2019","$ 3,00,000.00",Seed,"$ 3,00,000.00",Rainmatter Capital,,,,,1
Bombay Shaving Company,Consumer Goods,E-Commerce,New Delhi,Delhi,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.",110017,$1M to $10M,2015,www.bombayshavingcompany.com/,4,Deepu Panicker,Raunak Munot,Rohit Jaiswal,01-Oct,8,Late Stage Venture,"Feb 3, 2022","₹ 50,00,00,000.00",Series C,"$ 4,58,91,354.00",Colgate Palmolive,Fireside Ventures,McKinsey & Company,Sixth Sense Ventures,Reckitt,20
SPOYL,E-Commerce,Fashion,Bangalore City,Karnataka,India's largest destination platform for influencer-led fashion e-commerce,560095,$1M to $10M,"Aug 15, 2015",www.spoyl.in/,1,Bhargav Errangi,,,Nov-50,4,Seed,"Jan 29, 2018","$ 19,20,000.00",Seed,"$ 35,90,200.00",Rocketship.vc,TLabs,,,,2
Online PSB Loans,Finance,Financial Services,Ahmedabad,Gujarat,Online PSB Loans is an new-age online fund-raising platform.,380009,—,2015,www.onlinepsbloans.com,3,Jinand Shah,Mukund Shivasubramanian,Ronak Shah,101-250,1,—,"Jan 1, 2019","₹ 5,00,00,000.00",Venture - Series Unknown,"₹ 5,00,00,000.00",Samridhi Fund,,,,,1
6Degree,E-Commerce,Retail,Bangalore,Karnataka,6Degree is a fashion retail startup that provides scales SMB & enterprise businesses through a B2B Retail SaaS platform,—,$10M to $50M,"Jul 15, 2015",6degree.co,2,Amit Bhardwaj,Nikhil Hegde,,51-100,7,—,"Jun 28, 2022","$ 8,00,000.00",Venture - Series Unknown,"$ 27,41,864.00",1Crowd,Indian Angel Network,Angelbay,SucSEED Indovation,Keiretsu Forum,10
MyGlamm,Beauty,Cosmetics,Mumbai,Maharashtra,"MyGlamm is a direct-to-consumer beauty brand that offers a marketplace for stylists, beauticians, nail, and spa aestheticians.",400011,$100M to $500M,2015,www.myglamm.com/,2,Darpan Sanghvi,Priyanka Gill,,251-500,12,Late Stage Venture,"Nov 9, 2021","$ 15,00,00,000.00",Series D,"$ 28,83,62,465.00",Amazon,Accel,Warburg Pincus,Stride Ventures,Bessemer Venture Partners,19
BeatO,Diabetes,Health Care,New Delhi,Delhi,BeatO is a developer of a health monitoring application that helps diabetic patients track their glucose levels.,110030,$50M to $100M,2015,www.beatoapp.com,4,Abhishek Kumar,Gautam Chopra,Kunal Kinalekar,251-500,7,Early Stage Venture,"Nov 16, 2022","₹ 2,69,00,00,000.00",Series B,"$ 4,74,14,149.00",PharmEasy,Blume Ventures,W Health Ventures,Alteria Capital,Flipkart Ventures,14
KabaddiAdda,News,Sports,Bengaluru,Karnataka,"Kabaddi Adda is the adda for all Kabaddi enthusiasts looking for Kabaddi news, videos, players interviews, match reports, insights.",—,$1M to $10M,"Jan 1, 2015",www.kabaddiadda.com/,2,Arvind Sivdas,Vikas Gautam,,Nov-50,1,M&A,"May 31, 2019","₹ 1,50,00,000.00",Seed,"₹ 1,50,00,000.00",Artha Group,,,,,1
GoldVIP Technology Solutions (Crown-it),Mobile Apps,Retail,Haryana,Haryana,Crown It is a mobile app which is set to revolutionize retail business in India.,—,$10M to $50M,"Mar 3, 2014",crownit.in/,3,Arvind Saini,Ashish Munjal,Sameer Grover,101-250,4,—,"Jan 1, 2019",—,Venture - Series Unknown,"$ 95,00,000.00",Accel,InnoVen Capital,Kunal Shah,Girish Mathrubootham,Sandeep Tandon,8
Exoticamp,E-Commerce,,Chennai,Tamil Nadu,Exoticamp is an India-based online platform that enables users to discover & book private camping sites.,600097,$1M to $10M,"Jan 1, 2015",www.exoticamp.com/,—,,,,01-Oct,1,Seed,"Oct 6, 2023","₹ 4,00,00,000.00",Seed,"₹ 4,00,00,000.00",Harsh Dugar,Aditya Vuchi's family office,Anil Kumar Karusala,,,3
Goalwise,Financial Services,FinTech,Bengaluru,Karnataka,Goalwise is a mutual fund investment platform that provides an investment plan to achieve financial goals.,560102,$1M to $10M,2015,www.goalwise.com/,1,Swapnil Bhaskar,,,Nov-50,1,M&A,"May 24, 2016","$ 10,00,000.00",Seed,"$ 10,00,000.00",,,,,,—
Adiuvo Diagnostics,Health Care,Health Diagnostics,Chennai,Tamil Nadu,Adiuvo Diagnostics is a medical diagnostic device company based in India.,600113,Less than $1M,2015,www.adiuvodiagnostics.com/,2,Bala Pesala,Geethanjali Radhakrishnan,,01-Oct,2,Seed,"Dec 18, 2018",—,Seed,"₹ 65,00,000.00",Villgro,Menterra Venture Advisors,,,,2
RenewBuy,Financial Services,Insurance,Gurgaon,Haryana,RenewBuy is an InsurTech company that offers a variety of insurance policies and financial products via its online distribution platform.,122001,$50M to $100M,2015,www.renewbuy.com,5,Balachander Sekhar,Devesh Joshi,Harman Preet Singh,1001-5000,9,Late Stage Venture,"Jul 18, 2023","$ 4,00,00,000.00",Series D,"$ 13,27,37,222.00",Stride Ventures,360 ONE Asset,InnoVen Capital,Apis Partners,Lok Capital,8
Sunday,E-Commerce,Home Decor,Bengaluru,Karnataka,India's first sleep startup. Passionately designed mattress and other sleep products.,560043,$1M to $10M,2015,www.sundayrest.com,1,Alphonse Reddy,,,Nov-50,1,Seed,"Nov 23, 2015","$ 3,00,000.00",Seed,"$ 3,00,000.00",Anand Morzaria,,,,,1
RedCarpetUp.com,Consumer Lending,Credit,New Delhi,Delhi,"RedCarpet lends to customers in India to finance their online purchases - ecommerce, travel, etc.",110030,$1M to $10M,May-15,www.redcarpetup.com,3,Abhay Tamaria,Kartik Venkataraman,Sandeep Srinivasa,Nov-50,4,—,"Mar 27, 2019","$ 38,90,000.00",Venture - Series Unknown,"$ 65,60,000.00",Lightspeed Venture Partners,Y Combinator,Lightspeed India Partners,Google Launchpad Accelerator,,4
Parkwheels,Industrial,Industrial Automation,Haryana,Haryana,"Parkwheels aims at solving the big, bad & unsexy parking problems of India.",122002,$1M to $10M,2015,parkwheels.co.in/,2,Dhananjay Rathore,Sumit Jain,,01-Oct,1,Seed,"Sep 20, 2018","₹ 1,20,00,000.00",Seed,"₹ 1,20,00,000.00",91springboard,Amit Lakhotia,Anchit Lakhotiya,Sonit Singh,,4
Gururo,Consulting,Corporate Training,Bengaluru,Karnataka,Gururo is a EdTech firm offering UG/PG courses from Top International Universities,560005,$1M to $10M,"Mar 1, 2015",gururo.com/,1,Swati Upadhyay,,,Nov-50,1,Seed,"Apr 5, 2020","$ 25,00,000.00",Seed,"$ 25,00,000.00",,,,,,—
SuperMoney,Employee Benefits,Financial Services,Mumbai,Maharashtra,SuperMoney is caters to gig economy and blue-collar workers offering them a suite of financial products focused towards customised credit.,—,—,"Jan 1, 2015",www.supermoney.in,2,Nikhil Banerjee,Shiv Nandan Negi,,Nov-50,1,Seed,"Feb 6, 2020","$ 10,00,000.00",Seed,"$ 10,00,000.00",Unitus Ventures,,,,,1
Serigen Mediproducts,Health Care,,Satara,Maharashtra,Serigen is an innovation-driven tissue regeneration products company,411009,$1M to $10M,2015,serigenmed.com/,—,,,,—,5,Seed,"Mar 29, 2023","₹ 5,80,00,000.00",Seed,"₹ 5,80,00,000.00",Small Business Innovation Research,Colossa Ventures,Biotechnology Industry Research Assistance Council(BIRAC),Anand Deshpande,Shantanu Deshpande,13
Myforexeye.com,Financial Services,Information Technology,New Delhi,Delhi,Myforexeye is India’s Premium Full Service Foreign Exchange Company working closely with B2B & B2C,110025,—,"Apr 1, 2014",www.myforexeye.com,1,Anand Tandon,,,51-100,2,Seed,"May 29, 2018","$ 5,00,000.00",Seed,"$ 7,19,736.00",InRhythm Energy,Ankit Sharma,Rahul Dev Kumar,Rajesh Mahajan,,4
LegalRaasta,Accounting,Legal,New Delhi,Delhi,LegalRaasta.com is a technology platform to simplify legal and business related matters.,110015,$1M to $10M,"Jun 15, 2015",www.legalraasta.com,4,Himanshu Jain,Kanika Gupta,Pulkit Jain,Nov-50,2,Early Stage Venture,"May 11, 2017","$ 50,00,000.00",Series A,"$ 60,00,000.00",Impanix Capital,Pravin Khandelwal,Yatin Jain,Puneet Jain,,4
Matrix Shell Technologies Private Limited,Cyber Security,Telecommunications,Pune,Maharashtra,"SaaS,Cyber Security ,Telecom Security Automation",411028,—,"Dec 17, 2014",matrixshell.com,1,Akib Sayyed,,,01-Oct,2,Seed,"Nov 1, 2022","₹ 50,00,000.00",Seed,"₹ 80,00,000.00",,,,,,—
WION,News,Publishing,Noida,Uttar Pradesh,WION is a global English news channel from South Asia.,201301,—,2015,www.wionews.com,2,Mithaq Kazimi,Rohit Gandhi,,101-250,2,Private Equity,"Aug 1, 2016","$ 1,50,00,000.00",Private Equity,"$ 1,60,00,000.00",Zee Entertainment Enterprises,,,,,1
Pratyaksha Agrotech,Agriculture,Chemical,New Delhi,Delhi,Pratyaksha Agrotech is a manufacturer of agricultural products.,—,Less than $1M,"Nov 21, 2014",agropratyaksha.com,2,Dr. Mriganko Das,Supratim Roychoudhury,,Nov-50,1,Seed,"Sep 1, 2018","₹ 4,00,00,000.00",Seed,"₹ 4,00,00,000.00",Northeast Venture Fund ( NEVF ),,,,,1
Kissht,Credit,Financial Services,Mumbai,Maharashtra,Kissht is a financial technology platform that provides loans and credit for consumers.,400078,$1M to $10M,"Jul 13, 2015",kissht.com,3,Karan Mehta,Krishnan Vishwanathan,Ranvir Singh,501-1000,8,—,"Jun 8, 2022","$ 8,00,00,000.00",Venture - Series Unknown,"$ 14,25,43,497.00",Northern Arc,VenturEast,Vertex Ventures,Navi Technologies,Fosun RZ Capital,12
Docplexus,Clinical Trials,Health Care,Pune,Maharashtra,Docplexus is an online platform for doctors where they can communicate with peers and other healthcare service providers.,411045,—,"Jan 22, 2014",www.docplexus.com,1,Phanish Chandra,,,51-100,1,Seed,"Oct 6, 2015","$ 7,00,000.00",Seed,"$ 7,00,000.00",Uniqorn Ventures,ASP Consulting,,,,2
Entri,E-Learning,Education,Kochi,Kerala,Entri is a vernacular language learning platform for teachers and students.,682037,$1M to $10M,2015,entri.app,2,Mohammed Hisamuddin,Rahul Ramesh,,51-100,10,—,"Aug 14, 2023","$ 34,73,793.00",Venture - Series Unknown,"$ 1,48,44,146.00",Google for Startups,Omidyar Network India,Shastra VC,Good Capital,Innospark Ventures,11
Allygrow Technologies,Aerospace,Automotive,Pune,Maharashtra,"Allygrow Technologies a Pune, India-based engineering services company.",411004,$1M to $10M,2015,www.allygrow.com,1,Prashant Kamat,,,51-100,1,M&A,"Aug 11, 2015","$ 2,00,00,000.00",Venture - Series Unknown,"$ 2,00,00,000.00",Zodius Capital,,,,,1
numberz,Banking,Financial Services,Gurgaon,Haryana,"Numberz is a Collections automation platform that helps businesses view, track and collect their unpaid invoices.",122002,$1M to $10M,"Jul 31, 2015",numberz.co/,3,Aditya Tulsian,Baskar Ganapathy,Rajeev Chari,Nov-50,1,M&A,"Nov 21, 2016","$ 6,50,000.00",Seed,"$ 6,50,000.00",Kae Capital,Khosla Impact,,,,2
LifCare,E-Commerce,Health Care,Delhi,Delhi,India's 1st Subscription Pharmacy for chronic patients,110020,$1M to $10M,Sep-15,www.lifcare.in,3,Deepesh Rajpal,Krishna Killa,Rohit Mohta,251-500,3,Early Stage Venture,"Jul 24, 2018","$ 1,10,00,000.00",Series B,"$ 1,70,00,000.00",Elevation Capital,Nexus Venture Partners,Kunal Shah,Alok Mittal,Sandeep Tandon,9
Walnut Knowledge Solutions,Content,Content Creators,Bangalore City,Karnataka,Walnut Knowledge Solutions uses questions and stories to aid learning for kids and to engage audiences across platforms.,560008,$1M to $10M,"Aug 1, 2014",walnuts.co.in/,2,Raghav Chakravarthy,Sachin Ravi,,01-Oct,1,Seed,"Sep 9, 2020","₹ 2,70,00,000.00",Seed,"₹ 2,70,00,000.00",Rainmatter Capital,Nikhil Bhandarkar,Akshita Ganesh,Chetan Vinchhi,Suresh Kumar Pinglay,9
Goodbox,E-Commerce,Food and Beverage,Bengaluru,Karnataka,Goodbox is a B-B-C Commerce Network that provides Businesses a Mini App & Consumers a Mega App.,560102,$1M to $10M,2015,goodbox.in,7,Abey Zachariah,Anand Kelaginamani,Charan Shetty,51-100,3,M&A,"Jun 15, 2017","$ 10,00,000.00",Series B,"$ 37,00,000.00",Manipal Group,Nexus Venture Partners,Charan Padmaraju,Aprameya Radhakrishna,,4
Qikpod,E-Commerce,Information Technology,Bangalore,Karnataka,Delivering innovative last mile logistics solutions for India's eCommerce industry.,—,Less than $1M,2015,www.qikpod.com/,1,Ravi Gururaj,,,Nov-50,1,Early Stage Venture,"Nov 30, 2015","$ 90,00,000.00",Series A,"$ 90,00,000.00",Accel,Foxconn Technology Group,Delhivery,Sumit Jain,Rajeev Chitrabhanu (MAGNETIC),6
ABSENTIA,Consumer Electronics,Electronics,Thane,Maharashtra,ABSENTIA is a developed a virtual reality head mount device,400601,Less than $1M,2015,www.absentiavr.com/,3,Harikrishna Valiyath,Shubham A Mishra,Vrushali Prasade,01-Oct,4,—,"Jan 1, 2019",—,Venture - Series Unknown,"$ 14,41,941.00",Venture Catalysts,Exfinity Venture Partners,Astarc Ventures,Xseed Partners,,4
QuikrEasy,E-Commerce,Home Decor,Mumbai,Maharashtra,QuikrEasy -Trusted Home Service Provider.,400064,$1M to $10M,"Apr 1, 2014",www.quikr.com/services/services-bangalore-all,2,Anubhab Goel,Gaurav Shrivastava,,51-100,3,M&A,"Jul 11, 2016","$ 50,00,000.00",Series A,"$ 74,00,000.00",Omidyar Network,Chiratae Ventures,Aarin Capital,Naveen Tewari,Sherpalo Ventures,5
Flickstree,Affiliate Marketing,Artificial Intelligence (AI),Mumbai,Maharashtra,Flickstree is a AI-enabled video publisher network that allows the user to engage and monetize their traffic.,400064,$1M to $10M,"Aug 13, 2014",www.flickstree.com,"amongst others.\"",—,—,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/flickstree-2,Kalyandhar Vinukonda,Nagender Sangra,Rahul Jain,https://www.crunchbase.com/person/rahul-jain-11,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/flickstree-2,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/flickstree-2,Oct 10","2022""",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_total/flickstree-2,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/last_funding_type/flickstree-2,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/flickstree-2,9Unicorns Accelerator Fund,Venture Catalysts,Orbit Startups,,,,,,,,,
ToppersNotes,EdTech,Software,Jaipur,Rajasthan,ToppersNotes primarily operate in the test preparation industry.,302020,—,2015,www.toppersnotes.com,3,Arpit Bansal,Ayush Agrawal,Devendra Dhaka,101-250,1,Seed,"Nov 22, 2021","$ 10,00,000.00",Seed,"$ 10,00,000.00",Inflection Point Ventures,LetsVenture,Pulkit Agrawal,PlanB Capital,Ashish Sharma,5
Sayre Therapeutics,Biotechnology,Health Diagnostics,Bangalore,Karnataka,"A healthcare organisation in the business of commercialising novel medicines, medical devices and molecular diagnostics in Oncology.",—,—,2015,sayretherapeutics.com,1,Shukrit Sudhir Chimote,,,Nov-50,2,—,"Sep 4, 2017","$ 80,00,000.00",Venture - Series Unknown,"$ 90,00,000.00",Accel,InnoVen Capital,Aarin Capital,,,3
Wow Express,Delivery,Information Technology,Mumbai,Maharashtra,"WOW, as customers react to his studiously taught, trained, polite and courteous nature.",—,Less than $1M,Jan-15,wowexpress.in/,3,Jayesh Kamat,Mazhar Faruqi,Sandeep Padoshi,501-1000,3,Early Stage Venture,"Jun 28, 2018","$ 45,00,000.00",Series A,"$ 72,42,990.00",Tamarind Family Private Trust,,,,,1
ProcMart,B2B,Internet,Noida,Uttar Pradesh,Procmart is a B2B marketplace that provides one-stop procurement solutions for all indirect/MRO needs.,201301,$1M to $10M,2015,www.procmart.com,3,Anish Popli,Pratik Potnis,Saheel Joshi,101-250,4,Early Stage Venture,"Nov 21, 2022","₹ 81,60,00,000.00",Series A,"₹ 81,60,00,000.00",IndiaMART,Sixth Sense Ventures,,,,2
Cardiotrack,Artificial Intelligence (AI),Biotechnology,Bangalore,Karnataka,Cardiotrack is an AI based diagnostics company that is improving heart health outcomes through early diagnosis,560040,$1M to $10M,"Feb 14, 2014",www.cardiotrack.io,2,Ashim Roy,Avin Agarwal,,Nov-50,4,Seed,"Mar 9, 2020",—,Seed,"$ 10,00,000.00",Frontline Strategy,Ravindran Govindan,Buddhadeb Biswas,,,3
Apxor,Analytics,Industrial,Hyderabad,Andhra Pradesh,Apxor is a digital nudging platform for applications.,500033,$1M to $10M,"Apr 6, 2015",www.apxor.com,2,Amba Babjee Dhanisetty,Krishna Kiran Kasturi,,Nov-50,8,Seed,"Mar 27, 2020","$ 1,86,000.00",Seed,"$ 7,59,290.00",IITM Incubation Cell,Perraju Bendapudi,Touchstone Equities,,,3
shumee,E-Commerce,Education,Bangalore,Karnataka,"Sustainable, eco-friendly and wooden exploration toys designed after much research on how to engage, stimulate and entertain children.",—,Less than $1M,"Aug 10, 2014",www.shumee.in,1,Meeta Sharma Gupta,,,Nov-50,2,Seed,"Dec 24, 2021",—,Seed,"$ 3,00,000.00",Fluid Ventures,,,,,1
Azani Sports,Fashion,Sports,Bangalore,Karnataka,Azani Sports manufactures sports appreal .,—,$1M to $10M,2015,www.azanisport.com/,2,Punith Kumar U,Siddharth Suchde,,Nov-50,2,Seed,"Apr 19, 2019","$ 15,00,000.00",Seed,"$ 15,00,000.00",Fireside Ventures,Surge,,,,2
Pipa.Bella,E-Commerce,Fashion,Mumbai,Maharashtra,Pipa.Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,400004,$1M to $10M,"Dec 3, 2014",www.pipabella.com,bracelets and rings,personalized jewelry,Top 25 Startups by Singapore's Javelin Startup-O Victory Fund,Harpers,Grazia,Elle,"and Wall Street Journal.\"",—,—,—,https://www.crunchbase.com/search/people/field/organization.companies/num_founders/pipa%2Bbella,https://www.crunchbase.com/person/shivani-pandya,https://www.crunchbase.com/person/shuchi-pandya,,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/pipa%2Bbella,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/pipa%2Bbella,$1",0,"000""",,,,,,,,
TAX2WIN,Apps,Financial Services,Jaipur,Rajasthan,TAX2WIN is a platform that offers customers a one stop shop for any tax related issues.,302016,$1M to $10M,Feb-15,www.tax2win.in/,2,Abhishek Soni,Vertika Kedia,,101-250,1,M&A,"Jul 19, 2016","$ 10,00,000.00",Seed,"$ 10,00,000.00",,,,,,—
Truxapp,Information Technology,Logistics,New Delhi,Delhi,Truxapp is set to revolutionize the Global Road-Freight logistics industry.,110030,—,"Feb 27, 2015",www.truxapp.com/,5,Dhruv Khandelwal,Manmohan Agarwal,Naseer Ahmed,101-250,1,Seed,"Aug 8, 2017","$ 31,00,000.00",Seed,"$ 31,00,000.00",Tarun Khandelwal,Venugopal Dhoot,Ajay Bhatia,Ganpat Singhvi,,4
Adurcup,B2B,E-Commerce,Noida,Uttar Pradesh,Adurcup is India's leading restaurant procurement platform.With a vision to create automation in F&B by providing right sourcing solutions,201301,$1M to $10M,Feb-15,www.adurcup.com/,4,Abhishek Verma,Harshit Mittal,Kumar Kushang,Nov-50,5,Seed,"Nov 20, 2019",—,Seed,"$ 9,25,000.00",Venture Catalysts,SOSV,Orbit Startups,Dineout,MOX (now Orbit Startups),12
Hasiru Dala Innovations,CleanTech,Environmental Consulting,Bangalore,Karnataka,Hasiru Dala Innovations is a BBMP empaneled waste management company.,—,$1M to $10M,"Jan 1, 2015",hasirudalainnovations.com/,3,Marwan Abubaker,Nalini Shekar,Shekar Prabhakar,Nov-50,2,—,"Apr 22, 2021",—,Venture - Series Unknown,"₹ 1,25,00,000.00",Beyond Capital,Impact India Investment Partners,Ennovent,,,3
Boongg,Automotive,Rental,Pune,Maharashtra,Boongg is a motorcycle rental agency.,411057,Less than $1M,2015,www.boongg.com/,2,Rahul Sarda,Yogesh Daga,,Nov-50,1,Seed,"Mar 13, 2020","₹ 2,00,00,000.00",Seed,"₹ 2,00,00,000.00",,,,,,—
Milklane,Industrial,Industrial Manufacturing,Mumbai,Maharashtra,Milklane controls end-to-end supply chain that ensures high-quality milk for industrial off-takers and consumers.,400013,$1M to $10M,2015,milklane.in/,—,,,,Nov-50,2,Seed,"Apr 2, 2019","$ 39,00,000.00",Seed,"$ 79,00,000.00",Schreiber Foods,Pioneering Ventures,,,,2
Workflexi,Career Planning,Human Resources,Bangalore,Karnataka,"Be Smart, Work on Contract,Be Smart, Hire on Contract",560071,Less than $1M,2015,workflexi.in/,1,Sandesh Kangod,,,01-Oct,1,Seed,"Jan 15, 2018","₹ 1,00,00,000.00",Seed,"₹ 1,00,00,000.00",Kamalraj Chandrasekaran,Parashiva J Ravikumar,,,,2
Navia Life Care,Health Care,,New Delhi,Delhi,Navia Life Care is a health technlogy company that provides smart healthcare solutions.,110017,$1M to $10M,2015,www.navialifecare.com/,4,Gaurav Gupta,Kunal Kishore Dhawan,Nupur Khandelwal,01-Oct,5,Seed,"May 28, 2022",—,Seed,"$ 11,00,000.00",9Unicorns Accelerator Fund,Venture Catalysts,Google for Startups,Ashish Gupta,Anicut Angel Fund,8
Nukkad Shops,Apps,Billing,Hyderabad,Andhra Pradesh,Nukkad Shops is a commerce platform for small and medium-size retailers.,500081,$10M to $50M,2015,nukkadshops.com,3,Niranjan Kambamettu,Ravi korukonda,Vivek Shukla,51-100,2,Seed,"Mar 30, 2018","$ 3,69,000.00",Angel,"$ 13,69,000.00",PurpleTalk,Vivek Mallandi,Software,,,2
GuaRented.com,E-Commerce,Home Appliances,Bangalore,Karnataka,Guarented is a marketplace to rent home appliances and furniture in Bangalore.,560043,—,2015,www.guarented.com/,3,Abhimanyu Dikshit,Harshwardhan Raikwar,Prateek Agrawal,Nov-50,1,Seed,"Aug 23, 2016","$ 5,00,000.00",Seed,"$ 5,00,000.00",Kstart,,,,,1
