company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
EKAM,Beauty,Consumer Goods,Mangalore,Karnataka,EKAM is a part of The Manipal group.,575011,$1M to $10M,1925,ekamonline.com,—,,5001-10000,1,Seed,"Jul 19, 2022","₹48,000,000",Angel,"₹48,000,000",Manipal Group,Lakshmi Narayanan,Deep Bajaj,Narayan Ramachandran,Gopal Srinivasan,9
Caplin Point Laboratories,Biotechnology,Pharmaceutical,Chennai,Tamil Nadu,Caplin Point is a Pharmaceutical company.,600 017,—,1990,www.caplinpoint.net/,1,CC Paarthipan,501-1000,1,—,"Jan 18, 2019","₹2,180,000,000",Venture - Series Unknown,"₹2,180,000,000",F-Prime Capital,Eight Roads Ventures,Fidelity International,,,3
Kaya Skin Clinic,Beauty,Consumer Goods,Mumbai,Maharashtra,"Kaya is India’s leading chain of dermatologist-backed clinics with state-of-art safe technologies, committed to deliver flawless skin & hair",400093,$10M to $50M,"Mar 27, 2003",www.kaya.in/,1,Harsh Mariwala,1001-5000,1,Early Stage Venture,"Apr 4, 2022","$4,000,000",Series B,"$4,000,000",Foxhog Ventures Corp.,,,,,1
Vidal Healthcare,Financial Services,Health Insurance,Bangalore,Karnataka,Vidal Healthcare is a health insurance agency.,560066,$10M to $50M,Mar-02,www.vidalhealthtpa.com,1,Girish Rao,1001-5000,1,—,"Sep 26, 2016","$10,000,000",Venture - Series Unknown,"$10,000,000",Ambit Pragma Ventures,,,,,1
Kota Gold Jewellers,Fashion,Jewelry,Thrissur,Kerala,Kota Gold Jewellery shop in Coimbatore - Best gold jewellery showroom in Coimbatore.,641012,$1B to $10B,1993,kotagold.co/,1,Sam uday,5001-10000,2,IPO,"Apr 2, 2017","₹5,000,000,000",Private Equity,"$277,152,517",Warburg Pincus,,,,,1
Zcl Chemicals,Alternative Medicine,Emergency Medicine,Mumbai,Maharashtra,Zcl Chemicals is the fastest growing Pharmaceutical companies in India that combines the power of Science & Technology.,—,—,Mar-91,zclchemicals.com,2,Ajay Parikh Krishnakant,251-500,1,M&A,"Dec 24, 2016","₹1,700,000,000",Private Equity,"₹1,700,000,000",Morgan Stanley,,,,,1
Vedic Cosmeceuticals,Cosmetics,Health Care,Noida,Uttar Pradesh,Vedic Cosmeceuticals is a private label manufacturer of personal care products.,—,$1M to $10M,2002,vedicskincare.com/,1,Mohit Goel,01-Oct,1,Early Stage Venture,"Dec 15, 2021","₹250,000,000",Series A,"₹250,000,000",Sixth Sense Ventures,,,,,1
Accumax,Manufacturing,Product Design,Gandhinagar,Gujarat,Accumax is a producer of liquid handling products.,—,$1M to $10M,2003,accumaximum.com,—,,101-250,1,Private Equity,"Jun 2, 2022","₹5,200,000,000",Private Equity,"₹5,200,000,000",InvAscent,Creador,,,,2
Greenlam Industrie,Architecture,Interior Design,New Delhi,Delhi,Greenlam is a surfacing solutions brand that offers end-to-end surfacing solutions.,—,$100M to $500M,"Jan 1, 1993",www.greenlamindustries.com/,—,,501-1000,1,IPO,"Mar 23, 2015","₹330,000,000",Private Equity,"₹330,000,000",Westbridge Capital,,,,,1
ColdEx,Logistics,Supply Chain Management,Gurgaon,Haryana,ColdEx is a food supply chain and distribution company that offers food fulfillment solutions to the FMCG and food services industries.,—,$10M to $50M,"Jan 1, 1956",coldex.in/,1,Gaurav Jain,1001-5000,2,Early Stage Venture,"Feb 1, 2016","₹2,500,000,000",Series B,"$46,851,867",India Equity Partners,Asia Climate Partners (ACP),,,,2
Varmora,Building Material,Home Improvement,Morbi,Gujarat,Varmora is a fast-growing tile and bathware brand in India.,363621,—,1994,varmora.com/,—,,1001-5000,1,Private Equity,"Jun 28, 2022","$100,000,000",Private Equity,"$100,000,000",The Carlyle Group,,,,,1
Ami Lifesciences,Emergency Medicine,Health Care,Vadodara,Gujarat,Ami Lifesciences is a provider of medicines and health products in the pharmaceutical industry.,—,$1M to $10M,"Jan 1, 1994",amilifesciences.com/,1,Girish Chovatia,Nov-50,1,Private Equity,"Feb 12, 2020","$40,000,000",Private Equity,"$40,000,000",Kedaara Capital,,,,,1
Ramcharan,Chemical,Education,Chennai,Tamil Nadu,Ramcharan is a South Indian based chemical trading company.,600002,—,"Feb 1, 1966",ramcharanco.com/,—,,51-100,1,Private Equity,"Dec 1, 2021","₹310,000,000,000",Private Equity,"₹310,000,000,000",TFCC International,,,,,1
Ameyo,Computer,Customer Service,Gurgaon,Haryana,Ameyo is an all-in-one software based communication solution that manages end-to-end customer journeys,122018,$1M to $10M,2003,www.ameyo.com/,3,Bishal Lachhiramka,251-500,1,M&A,"Jul 3, 2015","$5,000,000",Series A,"$5,000,000",Forum Synergies,,,,,1
Neogen Chemicals,Chemical,,Thane,Maharashtra,Neogen Chemicals is a Chemical exporter company.,400601,$10M to $50M,1989,neogenchem.com/,1,Harish T. Kanani,101-250,1,IPO,"Apr 23, 2019","₹397,000,000",Venture - Series Unknown,"₹397,000,000",SBI Mutual Fund,Axis Mutual Fund,Sundaram Mutual Fund,L&T Mutual Fund,,4
Ascend Telecom Infrastructure Pvt. Ltd,Professional Networking,Telecommunications,Bangalore,Karnataka,Ascend Telecom Infrastructure is a integrated telecom infrastructure provider.,560093,$10M to $50M,2002,www.ascendtele.com,1,Sushil Kumar Chaturvedi,501-1000,2,Private Equity,"Apr 24, 2017","₹5,850,000,000",Private Equity,"₹5,850,000,000",IDFC Private Equity,New Silk Route,,,,2
Amazon Wholesale India,B2B,Business Development,New Delhi,Delhi,AmazonBusiness is a members only B2B website that has been specifically designed for businesses.,110017,$100M to $500M,1994,www.amazon.in,1,RAKESH MOHAN BAKSHI,10001+,1,—,"Dec 7, 2016","$23,500,000",Venture - Series Unknown,"$23,500,000",Amazon,,,,,1
Edelweiss Global Investment Advisors,Advice,Finance,Mumbai,Maharashtra,"Edelweiss Global Investment Advisors is into wealth management, capital markets, asset management and asset reconstruction.",—,—,"Nov 1, 1995",wealth.edelweiss.in/pre-login,1,Nitin Jain,5001-10000,1,Private Equity,"Nov 12, 2019","₹5,250,000,000",Private Equity,"₹5,250,000,000",Sanaka Capital Partners,,,,,1
ePack Durables Solutions,Consumer Electronics,Manufacturing,Dehra Dun,Uttarakhand,ePack Durables Solutions is the management of the second-largest contract manufacturer of room air conditioners.,—,$1M to $10M,2003,edurables.com,1,Ajay Singhania,51-100,2,Private Equity,"Sep 12, 2022","$40,000,000",Private Equity,"$61,381,701",Affirma Capital,ICICI Venture,,,,2
Ramky Enviro Engineers,Construction,Environmental Consulting,Hyderabad,Andhra Pradesh,A Hyderabad-based waste management company.,—,$1B to $10B,1994,ramkyenviroengineers.com/,—,,5001-10000,1,M&A,"Jun 4, 2018","$600,000,000",Private Equity,"$600,000,000",Kohlberg Kravis Roberts,,,,,1
Stylam Industries Limited,Commercial,Manufacturing,Chandigarh,Chandigarh,"Stylam is engaged in the design and manufacture of a variety of laminates for residential, commercial and industrial purposes.",160019,—,1991,www.stylam.com/,1,Stylam Laminates,501-1000,1,Private Equity,"May 18, 2017","₹510,000,000",Private Equity,"₹510,000,000",Lighthouse Funds,,,,,1
Jain Housing & Constructions,Architecture,Construction,Chennai,Tamil Nadu,Jain Housing Group entered the escalated market of real estate in the year 1988 with a presence in five states of Southern India.,600 028,—,1987,www.jainhousing.com/,2,Ashok Mehta,251-500,3,Private Equity,"Jan 3, 2021","₹1,750,000,000",Private Equity,"₹3,950,000,000",GIC,Apollo,Brand Capital,Nippon Life Asset Management,,4
United Bank,Banking,Financial Services,Kolkata,West Bengal,"United Bank provides information on deposit schemes, interest rates, utility services, and retail credit.",700001,$1B to $10B,1979,www.unitedbankofindia.com,4,D.N Mukherjee,10001+,1,—,"Apr 4, 2019","$26,300,000",Venture - Series Unknown,"$26,300,000",,,,,,—
Dainik Jagran,Advertising,Media and Entertainment,Kanpur,Uttar Pradesh,Dainik Jagran is a media and communications group.,208005,$100M to $500M,1942,www.jagran.com/,1,Puran Chand Gupta,5001-10000,1,Seed,"Aug 31, 2018","₹40,000,000",Seed,"₹40,000,000",,,,,,—
Persistent Systems,Analytics,Big Data,Pune,Maharashtra,"Persistent Systems offers software product concept and design, performance engineering, quality assurance, and other professional services.",411016,$100M to $500M,"Oct 19, 1990",www.persistent.com/,1,Anand Deshpande,10001+,1,IPO,"Dec 9, 2005","$18,800,000",Series A,"$18,800,000",Norwest Venture Partners,Gabriel Venture Partners,,,,2
Reliance Nippon Life Asset Management,Asset Management,Financial Services,Mumbai,Maharashtra,Reliance Nippon Life Asset Management Limited is the asset manager of Reliance Mutual Fund,—,—,"Feb 24, 1995",www.reliancemutual.com/about-us/company-profile...,2,Himanshu Vyapak,501-1000,1,Private Equity,"Oct 25, 2017","₹4,626,700,000",Private Equity,"₹4,626,700,000",Morgan Stanley,ICICI Prudential Life Insurance,Abu Dhabi Investment Authority,Fidelity International,SBI Mutual Fund,7
Shapoorji Pallonji Real Estate,Construction,Property Development,Mumbai,Maharashtra,Shapoorji Pallonji Real Estate is a residential company that provides construction and development services.,—,$10M to $50M,1867,shapoorjirealestate.com,—,,10001+,1,Private Equity,"Nov 28, 2022","₹4,500,000,000",Private Equity,"₹4,500,000,000",Motilal Oswal Alternates,,,,,1
Glass Wall Systems,Architecture,Building Material,Mumbai,Maharashtra,Glass Wall Systems is a facade fabricator that offers architectural metal work.,—,—,"Jan 1, 2003",www.glasswallsystems.in/,1,Eshan Hemrajani,101-250,1,Private Equity,"Jun 23, 2014","₹750,000,000",Private Equity,"₹750,000,000",Motilal Oswal Private Equity,,,,,1
Big Bang Food Tech,Food and Beverage,,New Delhi,Delhi,Big Bang Food Tech is a Food brand aggregator.,110017,$1M to $10M,2000,www.bigbangfoodtech.com/,2,Abhimanyu Singh Rana,Nov-50,1,Seed,"Mar 22, 2022","₹48,000,000",Seed,"₹48,000,000",Ashneer seth Grover,Artha Group,Harsh Jain,Anand Kumar,Chitra Radhakrishnan,7
Karomi,Cosmetics,Enterprise Software,Chennai,Tamil Nadu,"Karomi is a decade old, leading solution provider for Life Sciences, CPG, Cosmetics and Large Enterprises",600017,—,"Feb 11, 1999",www.karomi.com/,1,Vilva Natarajan,101-250,3,Seed,"Jun 27, 2022","$2,000,000",Seed,"$2,524,617",Ideaspring Capital,Cornerstone Venture Partners Fund,Microsoft Accelerator Bangalore,,,3
Varmora Plastech,Consumer Goods,Home Decor,Ahmedabad,Gujarat,Varmora Plastech has been steadily evolving into a world renowned brand through its groundbreaking,380060,$1M to $10M,1993,www.varmoraplastech.com/,1,Dhaval Patel,101-250,1,—,"Mar 31, 2017","₹300,000,000",Venture - Series Unknown,"₹300,000,000",GVFL,,,,,1
Deepak Fasteners,Industrial,Industrial Engineering,Ludhiana,Punjab,"Deepak Fasteners is an industrial fasteners manufacturer that offers socket screws, wrenches, tools, and more.",141001,—,1958,deepakfasteners.com/,2,Deepak Kalra,251-500,3,—,"Jun 14, 2022","$48,000,000",Venture - Series Unknown,"$63,000,000",BanyanTree Finance Pvt. Ltd.,Capri Xponentia Managers,,,,2
Sunways,Manufacturing,Medical,Mumbai,Maharashtra,"Sunways is a pharmaceutical company, manufacturing and marketing a wide range of formulations in Ophthalmology and ENT.",—,$100M to $500M,1951,www.sunways.com/,—,,501-1000,1,Private Equity,"Nov 25, 2022","₹1,200,000,000",Private Equity,"₹1,200,000,000",InvAscent,,,,,1
S.Chand & Company,Education,Printing,New Delhi,Delhi,S Chand And Company Limited operates as an education content company in India.,110055,$1M to $10M,1937,www.schandpublishing.com/,1,Shyam Lal Gupta,501-1000,1,IPO,"Nov 24, 2015","$27,000,000",Venture - Series Unknown,"$27,000,000",International Finance Corporation,Everstone,,,,2
Kerala Institute of Medical Sciences,Association,Education,Thiruvananthapuram,Kerala,Kerala Institute of Medical Sciences is a multi-specialty tertiary care hospital that provides high-quality medical aid.,695029,$10M to $50M,2002,trivandrum.kimsglobal.com/,1,Govindan Vijayaraghavan,1001-5000,2,Private Equity,"Mar 30, 2017","$200,000,000",Private Equity,"$233,864,281",OrbiMed,True North,Ascent Capital,,,3
Tynorindia,Fitness,Health Care,Mohali,Punjab,"Providing world class and innovative solutions in orthopedics and allied fields, through focus on R & D.",160055,$50M to $100M,1993,tynorindia.com/,1,Pushvinder Jit Singh,501-1000,1,Private Equity,"Jun 18, 2018","₹1,430,000,000",Private Equity,"₹1,430,000,000",Lighthouse Funds,Thuasne,,,,2
Innoviti,Financial Services,FinTech,Bangalore,Karnataka,"Innoviti develops payment processing, credit distribution, and payment management software solutions.",560008,—,Dec-02,innoviti.com,2,Amrita Malik,501-1000,11,Late Stage Venture,"Jul 8, 2022","$25,000,000",Series D,"$92,724,346",Tata Capital,Alumni Ventures,Bessemer Venture Partners,FMO,Trifecta Capital Advisors,13
Relisys,Health Care,Manufacturing,Hyderabad,Andhra Pradesh,"Relisys provides end-to-end solutions for designing, developing, and manufacturing critical care devices.",—,$10M to $50M,"Jan 1, 1997",relisysmedicaldevice.com/,1,Krishna Reddy Nallamalla,51-100,2,Private Equity,"Sep 1, 2021","₹100,000,000",Private Equity,"₹420,000,000",Siguler Guff & Company,India Life Sciences Fund II,,,,2
Vectus Industries,Building Material,Industrial,Noida,Uttar Pradesh,Vectus Industries Limited is the India’s fastest growing pipe and storage solution Company.,201305,$10M to $50M,2004,vectus.in,2,Ashish Baheti,1001-5000,1,—,"Jun 19, 2014","$16,000,000",Venture - Series Unknown,"$16,000,000",Creador,,,,,1
Emil Pharmaceutical,Manufacturing,Medical,Mumbai,Maharashtra,"Emil Pharmaceutical is responsible for creating, producing, and selling medications of a quality that is recognised worldwide.",—,$10M to $50M,1989,emilpharma.in/en/,—,,51-100,2,Private Equity,"Apr 25, 2023","₹1,200,000,000",Private Equity,"₹1,500,000,000",Somerset Indus Capital Partners,,,,,1
Total Environment,Environmental Engineering,Real Estate,Bangalore,Karnataka,Total Environment They are focused on creating spaces that you can be proud of living and working in.,560066,$10M to $50M,1996,www.totalenvironment.in/,1,Kamal Sagar,251-500,2,—,"Jul 26, 2016","$44,622,990",Venture - Series Unknown,"$44,622,990",Brand Capital,HDFC Holdings,,,,2
Power Research & Development Consultants,Consulting,Renewable Energy,Bengaluru,Karnataka,Power Research & Development Consultants provides consultancy services in power system planning and operations.,—,—,"Apr 8, 1994",www.prdcinfotech.com/,1,Dr. R Nagaraja,251-500,1,Seed,"Mar 1, 2015","₹45,000,000",Seed,"₹45,000,000",SIDBI Venture Capital,,,,,1
Verve Financial Services,Finance,Financial Services,Chennai,Tamil Nadu,Verve Financial Services is a leading financial consulting firm committed to overall growth and success of our clients.,600031,—,2004,verveindia.com,1,Nishant Gupta,Nov-50,2,—,"Feb 21, 2022","₹200,000,000",Venture - Series Unknown,"₹200,000,000",ICICI Bank,Brand Capital,,,,2
Kishlay Foods,Food Processing,Snack Food,Guwahati,Assam,Kishlay Foods is a Food processing company .,781001,$10M to $50M,2001,www.kishlaysnacks.com/,2,Krishna Bajaj,Nov-50,1,Early Stage Venture,"Jul 26, 2018","$15,000,000",Series A,"$15,000,000",Norwest Venture Partners,D K Surana And Associates,,,,2
Jumboking,Food and Beverage,Hospitality,Mumbai,Maharashtra,Jumboking is a quick-service restaurant.,—,—,"Aug 23, 2001",www.jumboking.co.in/,1,Dheeraj Gupta,101-250,2,—,"Aug 1, 2018","₹39,000,000",Venture - Series Unknown,"₹46,500,000",Triton Investment Advisors LLP,Ladderup Finance,,,,2
Saraf Foods,Delivery,Hospitality,Vadodara,Gujarat,"Saraf Foods manufactures various freeze-dried products, including freeze-dried fruits, vegetables, and herbs.",391 760,$1M to $10M,1993,www.saraffoods.com,1,Suresh Saraf,Nov-50,2,M&A,"Feb 24, 2018","₹300,000,000",Venture - Series Unknown,"$6,222,567",DSG Consumer Partners,IFU,Danish Investment Fund,Saraf family,PEDORIA,5
KSK Power Venture,Developer Platform,Energy,Hyderabad,Andhra Pradesh,KSK Power Venture is a power project development company operating multiple power plants in India.,500033,$1M to $10M,2001,www.ksk.co.in,1,Sethuraman Kishore,1001-5000,4,IPO,"Jun 10, 2014","$67,500,000",Private Equity,"$168,930,000",Macquarie Capital,GE Capital,IDFC Private Equity,Gocompare.com,Lehman Brothers Venture Partners,5
SportzVillage,Events,Sports,Mumbai,Maharashtra,"SportzVillage through its subsidiaries has built an ecosystem of relationships across federations, media, sponsors",400705,$10M to $50M,2003,www.sportzvillage.com,2,Jitendra Joshi,Nov-50,1,Early Stage Venture,"Oct 5, 2015","$10,000,000",Series A,"$10,000,000",Gaja Capital,,,,,1
Cremica Food Industries,Cooking,Food Processing,Mumbai,Maharashtra,"Cremica offers unique recipes, health oriented ingredients, and state-of-the art standards.",—,$50M to $100M,1978,www.cremica.com/,1,Rajni Bector,501-1000,1,M&A,"Jun 1, 2016","$15,000,000",Series A,"$15,000,000",Rabo Equity Advisors,,,,,1
Cravatex,Fashion,Retail,Mumbai,Maharashtra,Cravatex owned the largest chain of dyers and dry cleaners in India and subsequently diversified into Garment Export.,400 025,$100M to $500M,1951,www.cravatex.com/,1,Rohan Batra,251-500,2,Private Equity,"Mar 1, 2020","$30,000,000",Private Equity,"$41,458,324","Paragon Partners, India",,,,,1
Milky Mist Dairy,Dairy,Food and Beverage,Erode,Tamil Nadu,Milky Mist Dairy specializes in premium quality dairy products.,638 102,$100M to $500M,1992,www.milkymist.com/,3,Anitha Sathish Kumar,501-1000,1,—,"Jan 1, 2018","₹149,600,000",Venture - Series Unknown,"₹149,600,000",SIDBI Venture Capital,,,,,1
CCAvenue,Events,Financial Services,Mumbai,Maharashtra,"All the Avenues solutions – CCAvenue, ResAvenue, EventAvenue and HotelsAvenue are designed and created exclusively for Avenues using three",400054,$1M to $10M,2000,www.ccavenue.com,1,Vishwas Patel,01-Oct,1,—,"Jun 22, 2016","$9,000,000",Venture - Series Unknown,"$9,000,000",Infibeam,,,,,1
Ganga Kaveri Seeds,Agriculture,Farming,Hyderabad,Andhra Pradesh,Ganga Kaveri Seeds is an agricultural processing company that offers seed products and services.,—,$1M to $10M,"Jan 1, 1983",www.gangakaveri.in/,1,Vijayendhar Reddy,101-250,2,—,"Sep 12, 2016","₹450,000,000",Venture - Series Unknown,"₹950,000,000",Samara Capital,,,,,1
Crossroads,Automotive,Fuel,Delhi,Delhi,"Crossroads India Assistance Pvt Ltd, a roadside assistance provider for cars and two wheelers.",110020,$100M to $500M,1999,www.crossroadshelpline.com/,1,Harish Lakhera,251-500,1,Early Stage Venture,"Jan 8, 2015","$1,500,000",Series A,"$1,500,000",Sixth Sense Ventures,Sidengo,,,,2
Mantri Developers Pvt. Ltd.,Commercial Real Estate,Hospitality,Bengaluru,Karnataka,"Mantri Developers is one of India's leading real estate builders in Bangalore, Chennai, Hyderabad & Pune.",560 001,—,1999,www.mantri.in/,1,Sushil Mantri,5001-10000,2,—,"May 20, 2016","$21,500,000",Venture - Series Unknown,"$21,500,000",Kohlberg Kravis Roberts,Brand Capital,,,,2
Dr. Mohan's Diabetes Specialities Centre,Education,Health Care,Chennai,Tamil Nadu,"Dr. Mohan’s DSC was conceived by Dr. V. Mohan, internationally acclaimed diabetologist",—,—,1991,drmohans.com/,1,Viswanathan Mohan,1001-5000,1,Early Stage Venture,"Apr 12, 2017","$10,230,000",Series A,"$10,230,000",Lok Capital,Evolvence India Fund,,,,2
Crystal Logistic Cool Chain,Logistics,Supply Chain Management,Kolkata,West Bengal,Crystal is one of the oldest & leading one stop solution provider for cold chain services across India.,700007,$1M to $10M,1962,www.crystalgroup.in,2,Murari Lal Agarwal,251-500,1,Private Equity,"Mar 28, 2017","$10,000,000",Private Equity,"$10,000,000",Neev Fund,,,,,1
Prabhat Dairy,Food and Beverage,Food Processing,Mumbai,Maharashtra,"Prabhat Dairy is an integrated milk and dairy products company in India, catering to institutional as well as retail customers.",400705,—,1998,www.prabhatdairy.in/,2,Arvind Nirmal,501-1000,2,—,"Sep 23, 2015","₹850,000,000",Venture - Series Unknown,"₹850,000,000",TVS Capital Funds,Rabo Equity Advisors,,,,2
Apollo Health And Lifeestyle,Health Care,Hospital,Hyderabad,Andhra Pradesh,Apollo Clinic was born out of the perceived need to address the day-to-day health care needs of a typical family.,500 016,—,1983,apolloclinic.com/,1,Prathap Chandra Reddy,251-500,1,Early Stage Venture,"Dec 1, 2016","$67,000,000",Series A,"$67,000,000",International Finance Corporation,,,,,1
Detection Instruments,Network Security,Security,Mumbai,Maharashtra,"Detection Instruments is a safety, security, and networking solutions provider company.",—,—,"Jan 1, 1988",detection-india.com/,1,Kishore Degweka,51-100,1,—,"Feb 1, 2016","₹160,000,000",Venture - Series Unknown,"₹160,000,000",SIDBI Venture Capital,,,,,1
Parijat Industries,Chemical,,New Delhi,Delhi,Parijat is a three decades old Indian MNC with extensive global presence in 70 countries.,110048,$10M to $50M,"May 17, 1995",www.parijatagrochemicals.com/,2,keshav anand,251-500,1,—,"Jun 9, 2016","$15,000,000",Venture - Series Unknown,"$15,000,000",Rabo Equity Advisors,,,,,1
Kapsons Industries,Electronics,Industrial,Jalandhar,Punjab,"Kapsons Industries is a manufacturer and supplier of the electric motor, oil seals, mechanical seals, pumps accessaries.",—,—,"Jan 1, 1980",www.kapsonsindustries.com/new/index.php,2,Nishant Sehgal,101-250,1,—,"Dec 1, 2014","₹600,100,000",Venture - Series Unknown,"₹600,100,000",Tata Capital,,,,,1
Godavari Biorefineries,Agriculture,Biofuel,Mumbai,Maharashtra,Godavari Biorefineries Ltd operates sugar mills and manufactures alcohol and alcohol based products.,400 001,Less than $1M,1939,godavaribiorefineries.com,2,SOMAIYA K. J,51-100,1,—,"May 13, 2015","$15,000,000",Venture - Series Unknown,"$15,000,000",Mandala Capital,,,,,1
Chromozome,Textiles,,Mumbai,Maharashtra,Chromozome makes fashion innerwear and sportswear.,400001,$50M to $100M,1973,chromozome.net,—,,101-250,1,Private Equity,"Dec 21, 2021","₹300,000,000",Private Equity,"₹300,000,000",TIW Private Equity,,,,,1
HealthCare Global Enterprises.,Health Care,Hospital,Bangalore,Karnataka,HCG is the provider of cancer care and reproductive medicine.,560027,$100M to $500M,1989,www.hcgel.com,—,,5001-10000,1,—,"Jun 1, 2017","$5,250,000",Venture - Series Unknown,"$5,250,000",British International Investment,,,,,1
SP Apparels,Apparel,Fashion,Avanashi,Tamil Nadu,SP Apparels is textile manufacturing as well as exporting company concerned with knitted garments for infants and children.,641 654,—,1989,www.s-p-apparels.com/,2,P. Sundararajan,10001+,1,—,"Aug 2, 2016","$10,700,000",Venture - Series Unknown,"$10,700,000",Morgan Stanley,Goldman Sachs,Birla Sun Life Insurance,DSP Blackrock,UTI Mutual Fund,6
SeQure,Facility Management,Security,Coimbatore,Tamil Nadu,The most versatile workplace management platform that transforms how your team works.,641037,—,"Feb 3, 1903",sequre.app/,3,Rajesh Sankarappan,Nov-50,2,—,"Sep 1, 2022","$5,872,400",Venture - Series Unknown,"$5,872,400",,,,,,—
Shaadi.com,Apps,Internet,Mumbai,Maharashtra,Shaadi.com is a social networking site that provides matrimony and matchmaking services.,400034,$500M to $1B,1996,www.shaadi.com,1,Anupam Mittal,1001-5000,2,—,"Sep 21, 2017",—,Venture - Series Unknown,"$8,000,000",Peak XV Partners,InnoVen Capital,,,,2
Pescafresh,Delivery,Delivery Service,Mumbai,Maharashtra,Pescafresh is a seafood distribution and retailing company that delivers fresh and customized seafood to the doorstep of all its consumers.,—,—,2004,www.pescafresh.com,1,Sangram Sawant,101-250,2,Seed,"Apr 19, 2022","$2,000,000",Seed,"$2,140,000",Blume Ventures,Orios Venture Partners,Elara India Opportunities Fund,,,3
National Bulk Handling,Financial Exchanges,Financial Services,Mumbai,Maharashtra,"National Bulk Handling provides agri-warehousing, collateral management and trade facilitation services.",400059,—,2003,www.nbhcindia.com/,1,Ramesh Doraiswami,501-1000,1,Private Equity,"Feb 26, 2014","₹3,000,000,000",Private Equity,"₹3,000,000,000",True North,,,,,1
Laxmi Dental,Dental,Health Care,Mumbai,Maharashtra,Laxmi Dental provides dental products and services.,—,—,"Jan 1, 2004",www.laxmidental.com,1,Rajesh Khakar,1001-5000,1,—,"Feb 15, 2015","₹625,000,000",Venture - Series Unknown,"₹625,000,000",OrbiMed,,,,,1
Sadbhav Infrastructure Projects,Construction,Infrastructure,Ahmedabad,Gujarat,Sadbhav Engineering Limited is a leading Gujarat based,380 006,$50M to $100M,1988,www.sadbhaveng.com/,1,Vishnubhai M Patel,5001-10000,1,IPO,"Aug 31, 2015","$31,000,000",Venture - Series Unknown,"$31,000,000",Morgan Stanley,Nomura,SBI Mutual Fund,Tata AIA Life Insurance Company,Amansa Capital,6
Mu Sigma,Analytics,Big Data,Bengaluru,Karnataka,Mu Sigma offers management consulting services designed to provide decision sciences and big data analysis.,560066,$10M to $50M,2004,www.mu-sigma.com,1,Dhiraj C Rajaram,1001-5000,6,—,"Feb 5, 2013","$45,000,000",Venture - Series Unknown,"$209,850,000",Fidelity,General Atlantic,Mastercard,FTV Capital,Peak XV Partners,5
Concord Enviro Systems Limited,B2B,Environmental Consulting,Mumbai,Maharashtra,Integrated solutions provider of industrial wastewater reuse & zero liquid discharge (“ZLD”) solutions & services.,400051,$1M to $10M,1991,www.concordenviro.in,1,KAMLESH KUMAR GOEL,1001-5000,2,—,"Aug 14, 2015","₹1,085,500,000",Venture - Series Unknown,"₹1,507,400,000",Global Environment Fund Management,Sage Capital,,,,2
Techfront,Internet,Media and Entertainment,Chennai,Tamil Nadu,"Techfront develops end-to-end integrated technology and solutions for the sports, entertainment, and media industries.",600096,$1M to $10M,1996,www.techfront.in,1,Muralidharan Srinivasan,01-Oct,2,Private Equity,"Aug 10, 2016","$35,000,000",Private Equity,"$45,000,000",ADV Partners test,Avigo Capital Inc,,,,2
Shera Group,Manufacturing,Marketing,Jaipur,Rajasthan,"Shera Group is a product design firm that provides brass wires, aluminum tubes, brass tubes, and other products.",—,$1M to $10M,2003,www.sheraenergy.com/,1,Sheikh Naseem,Nov-50,1,—,"Mar 26, 2015","₹100,000,000",Venture - Series Unknown,"₹100,000,000",Canbank Venture Capital Fund,,,,,1
Nu Genes,Agriculture,AgTech,Secunderabad,Andhra Pradesh,"Nu Genes company engaged in hybrid development, seed production, seed processing and seed marketing.",—,$10M to $50M,2004,nugenes.net/,1,PN Reddy,51-100,1,Seed,"Dec 23, 2019","$6,000,000",Seed,"$6,000,000",Sathguru Catalyzer Advisors,,,,,1
Apex Frozen Foods,Food and Beverage,Food Delivery,East Godavari,Andhra Pradesh,One of the integrated producer and exporter of shelf stable quality aquaculture products.,533 005,$10M to $50M,1997,apexfrozenfoods.in/,1,Karuturi Satyanarayana Murthy,501-1000,1,IPO,"Aug 22, 2017","₹435,800,000",Venture - Series Unknown,"₹435,800,000",HSBC India,Invesco Mutual Fund,Reliance Mutual Fund,,,3
Liases Foras,Insurance,Market Research,Mumbai,Maharashtra,Liases Foras is a Mumbai-based residential real estate.,400093,$10M to $50M,1998,www.liasesforas.com/,1,Pankaj Kapoor,101-250,1,—,"Jul 7, 2015","$5,000,000",Venture - Series Unknown,"$5,000,000",dmg :: information,,,,,1
Ritu Kumar,Fashion,Manufacturing,Gurgaon,Haryana,Ritu Kumar manufactures and markets traditional designer-wear for women.,—,$10M to $50M,"Jan 1, 1969",www.ritukumar.com/,1,Ritu Kumar,251-500,1,M&A,"Apr 1, 2014","$16,600,000",Private Equity,"$16,600,000",Everstone,,,,,1
