company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,no of investor,investor1,investor2,investor3,investor4
Cleardekho,Eyewear,Internet,Ghaziabad,Uttar Pradesh,Cleardekho is the Uttar Pradesh based online eyewear marketplace.,—,$1M to $10M,2016,www.cleardekho.com,2,Saurabh Dayal,Shiv Singh,Nov-50,6,Early Stage Venture,"Oct 12, 2022","$ 50,00,000.00",Series A,"$ 1,13,08,492.00",31,Cornerstone OnDemand,SOSV,Orbit Startups,Sprint Vc
SleepyCat,Consumer,Consumer Goods,Mumbai,Maharashtra,SleepyCat is an online direct-to-consumer mattress and sleep solutions startup.,400098,$1M to $10M,2017,www.sleepycat.in/,1,Kabir Siddiq,,01-Oct,2,Early Stage Venture,"Aug 16, 2021","₹ 28,00,00,000.00",Series A,"₹ 39,00,00,000.00",4,Gemba Capital,Sharrp Ventures,Saama Capital,
Sleepy Owl Coffee,Brewing,Coffee,New Delhi,Delhi,Sleepy Owl Coffee provides brew coffee in India.,110049,$1M to $10M,"Jun 14, 2016",sleepyowl.co/,3,Ajai Thandi,Arman Sood,Nov-50,4,Early Stage Venture,"Nov 22, 2021","$ 65,00,000.00",Series A,"$ 76,74,000.00",4,Utsav Somani,Rukam Capital,Capital Advisors Group,
Morphle Labs,Health Care,Medical Device,Bangalore,Karnataka,Morphle Labs builds cutting edge robotics and software workflows for advanced cancer diagnostics needs globally.,560102,$1M to $10M,2017,morphlelabs.com/,2,Anchit Navelkar,Rohit Hiwale,51-100,3,Seed,"May 1, 2022","$ 12,00,000.00",Seed,"$ 23,50,000.00",1,,,,
AssetPlus,Banking,Financial Services,,,AssetPlus focuses on offering digital-first solutions to financial advisors and mutual fund distributors.,—,$1M to $10M,2016,www.assetplus.in/,—,India,Asia-Pacific (APAC),Nov-50,2,Early Stage Venture,"May 11, 2022","₹ 28,00,00,000.00",Series A,"₹ 28,00,00,000.00",7,Nithin Kamath,Bhupinder Singh,Kittu Kolluri,
Suraasa,Apps,E-Learning,Gurgaon,Haryana,"Suraasa is an online platform for teachers to get mentorship, teach diploma courses, and access job opportunities.",—,$1M to $10M,2017,www.suraasa.com,—,,,51-100,1,Seed,"Nov 30, 2022","₹ 9,60,00,000.00",Seed,"₹ 9,60,00,000.00",11,Sprint Vc,SucSEED Indovation,Kunal Shah,NB Ventures
UClean,Clean Energy,CleanTech,Faridabad,Haryana,UClean is a tech enabled laundry service provider.,121010,$10M to $50M,Oct-16,uclean.in,1,Arunabh Sinha,,Nov-50,2,Seed,"Apr 4, 2018","₹ 4,00,00,000.00",Seed,"₹ 4,00,00,000.00",2,Anubhav Chopra,,,
Bharat Housing Network,Financial Services,Real Estate,Mumbai,Maharashtra,"Bharat Housing Network provides funding, technology, and infrastructure to affordable housing finance institutions.",—,—,2017,bharathousingnetwork.com,—,,,101-250,1,Early Stage Venture,"Nov 9, 2023","₹ 1,25,00,00,000.00",Series A,"₹ 1,25,00,00,000.00",7,LC Nueva Investment Partners,Varanium Capital Advisors,Nabventures,Riverwalk Holdings
Fieldproxy,Apps,Information Technology,Chennai,Tamil Nadu,Fieldproxy is a SaaS platform that lets business owners build custom apps to streamline their field operations.,600088,$1M to $10M,"Jul 29, 2016",fieldproxy.com,2,Balakrishna Balasubramanian,Swaroop Vijayakumar,Nov-50,4,Seed,"Jul 13, 2022","₹ 6,00,00,000.00",Seed,"₹ 8,25,00,000.00",17,LetsVenture,100X.VC,MAGIC Fund,Mars Shot Ventures
Repos energy,E-Commerce,Electrical Distribution,Pune,Maharashtra,Repos energy is a e-commerce of Fuel to move towards a carbon neutral future.,411020,$1M to $10M,2017,reposenergy.com/,—,,,251-500,2,Seed,"May 17, 2022","₹ 56,00,00,000.00",Seed,"₹ 56,00,00,000.00",1,,,,
Sprng Energy,Energy,GreenTech,Pune,Maharashtra,Sprng Energy is a renewable energy platform set up in India by private equity fund manager Actis.,—,$10M to $50M,"Jan 1, 2017",sprngenergy.com,1,JM Trivedi,,101-250,1,M&A,"Mar 1, 2017","₹ 29,64,30,00,000.00",Private Equity,"₹ 29,64,30,00,000.00",1,,,,
Janitri,Health Care,Medical,Bengaluru,Karnataka,Janitri develops sustainable technology to improve maternal and child healthcare.,560102,$1M to $10M,"Mar 1, 2016",janitri.in/,1,Arun Agarwal,,Nov-50,2,Seed,"May 2, 2023","₹ 9,01,00,000.00",Seed,"₹ 9,01,00,000.00",7,Centre for Cellular and Molecular Platforms,India Accelerator,O2 Angels Network,Namita Thapar
Samosa Singh,Food and Beverage,Food Delivery,Bengaluru,Karnataka,Samosa Singh offers samosa an Indian snack that has different varieties for every regional preference.,560100,Less than $1M,"Oct 13, 2015",www.samosasingh.com/,1,Shikhar Veer Singh,,Nov-50,4,Seed,"Apr 15, 2021",—,Angel,"$ 32,02,400.00",6,She Capital,Equanimity Investments,AET Fund,AL Trust
Madbow Ventures,Fashion,Lifestyle,Gurgaon,Haryana,Madbow is a consumer technology platform that provides distinctive fashion for trendy and contemporary women.,122002,$10M to $50M,2016,madbow.com/,—,,,251-500,1,Early Stage Venture,"Jan 20, 2022","₹ 15,00,00,000.00",Series A,"₹ 15,00,00,000.00",7,Sanjay Damani,Junita Majumder,Bhumika Srivastava,Jagannath MS
Stylework Innovation Hub,Consulting,Coworking,Gurgaon,Haryana,Stylework is an unconventional co-working space aggregator that is going to change the way people work.,122022,$1M to $10M,"Oct 24, 2016",www.stylework.city/,1,Sparsh Khandelwal,,51-100,4,Early Stage Venture,"Apr 10, 2023","₹ 16,30,00,000.00",Series A,"$ 26,51,924.00",13,We Founder Circle,ah! Ventures,Sprint Vc,Altitude Club
Visit,Artificial Intelligence (AI),Chatbot,New Delhi,Delhi,AI driven chatbot to provide health advice within minutes.,110020,$10M to $50M,2016,getvisitapp.com,4,Anurag Prasad,Chetan Anand,01-Oct,4,Early Stage Venture,"Oct 11, 2021","$ 75,00,000.00",Series A,"$ 75,00,000.00",9,MapmyIndia,Kunal Bahl,Rohit Bansal,Richard Socher
QuickSell,B2B,E-Commerce,Mumbai,Maharashtra,QuickSell is a sales acceleration platform helping businesses transform Conversations to Conversions by leveraging Personal Commerce,400020,$1M to $10M,2017,www.quicksell.co,1,Deepak Bhagchandani,,51-100,2,Seed,"Jun 8, 2021","$ 20,00,000.00",Seed,"$ 22,25,000.00",6,BEENEXT,Vik Ghai,Shailendra Sharma,Ajay Jain
MyShubhLife,Financial Services,FinTech,Bangalore,Karnataka,MyShubhLife helps financial service providers to access and serve new and underserved market segments.,560052,$1M to $10M,2016,www.myshubhlife.com,4,Anand Barua,Monish Anand,101-250,6,Early Stage Venture,"Apr 11, 2022","₹ 1,00,00,00,000.00",Series B,"$ 2,77,45,713.00",12,Omidyar Network,Flourish Ventures,BEENEXT,Pravega Ventures
Vecmocon Technologies,Electric Vehicle,Electronics,New Delhi,Delhi,Vecmocon Technologies offers Deeptech EV solutions that enable OEMs to gain access to field-tested components.,—,$1M to $10M,2016,vecmocon.com,—,,,01-Oct,2,Seed,"Oct 12, 2022","₹ 41,00,00,000.00",Seed,"$ 52,87,820.00",3,Tiger Global Management,Tessellate Ventures,,
Auxilo,Banking,Education,Mumbai,Maharashtra,A pro education NBFC registered with the Reserve Bank of India poised on serving the financing gaps in the Indian Education Sector.,400070,$1M to $10M,2017,www.auxilo.com,1,Malala Yousafzai,,Nov-50,2,—,"Jul 25, 2023","₹ 4,70,00,00,000.00",Venture - Series Unknown,"$ 6,31,00,885.00",4,Xponentia Capital Partners,Balrampur Chini Mills,Tata Capital Growth Fund,
Isthara,Commercial Real Estate,Hospitality,Hyderabad,Andhra Pradesh,"Isthara offers shared-living accommodations as well as a variety of facilities, to working professionals and students.",500032,$1M to $10M,"Jan 1, 2017",isthara.com,2,Gilbert Lourduraj,Vijayan Krishna Kumar,101-250,3,—,"Oct 12, 2022","₹ 81,00,00,000.00",Venture - Series Unknown,"$ 2,08,53,985.00",4,Eagle Proprietary Investments,Eagle Investments,JM Financial Private Equity,
Carmesi,Apps,Beauty,Gurgaon,Haryana,Carmesi  is a brand of high-end menstrual-hygiene products in India.,—,$1M to $10M,2017,mycarmesi.com,2,Rikshav Borah,Tanvi Johri,01-Oct,3,Seed,"Aug 16, 2018",—,Seed,"₹ 3,40,00,000.00",11,Sunil Kalra,Arun Venkatachalam,Samrath Bedi,Satveer Singh Thakral
Market Pulse Technologies,Financial Services,FinTech,Mumbai,Maharashtra,Use technology to transform market enthusiasts into confident traders and investors.,—,$1M to $10M,2016,www.marketpulse.tech,2,Amit Dhakad,Hiral Jain,Nov-50,5,Seed,"Aug 9, 2022","₹ 10,00,00,000.00",Pre-Seed,"$ 20,06,618.00",10,Lead Angels Network,Chandigarh Angels Network,Nitish Mittersain,Chatur Ideas
Ayana Renewable Power,Energy,Renewable Energy,Bangalore,Karnataka,Ayana Renewable Power is an Indian renewable energy platfor.,—,—,2017,www.ayanapower.com/,—,,,251-500,2,Private Equity,"Dec 18, 2020","$ 39,00,00,000.00",Private Equity,"$ 72,00,00,000.00",3,NIIF,EverSource Capital,,
Aayu by MedCords,Health Care,Retail Technology,Kota,Rajasthan,"Aayu by MedCords is revolutionising the experience by providing efficient, affordable, quick and trusted healthcare to the people of Bharat.",324005,$10M to $50M,"Dec 19, 2016",www.MedCords.com,3,Nikhil Baheti,Saida Dhanavath,101-250,4,Early Stage Venture,"Nov 1, 2021","₹ 5,00,00,000.00",Series A,"₹ 31,28,00,000.00",7,Google for Startups,WaterBridge Ventures,Village Global,Rajasthan Venture Capital Fund
Vilcart,E-Commerce,Retail,Bengaluru,Karnataka,Vilcart runs and operates online e-commerce portal.,560040,$10M to $50M,2017,vilcart.in/,1,Prasanna Kumar,,Nov-50,2,Early Stage Venture,"Jan 6, 2023","₹ 1,44,00,00,000.00",Series A,"₹ 1,59,00,00,000.00",6,Nabventures,Asia Impact,Texterity,Nagaraj R.
HUVIAiR Technologies,Analytics,Artificial Intelligence (AI),Bangalore,Karnataka,HUVIAiR Constra is a computer vision and AI enabled SaaS platform for remote construction management.,560001,$1M to $10M,"Jul 5, 2016",huviair.com/,2,Arjun P Janananda,Vikshut Mundkur,Nov-50,5,Early Stage Venture,"Jan 17, 2022","₹ 23,82,00,000.00",Series A,"₹ 23,82,00,000.00",9,SOSV,Orbit Startups,Shastra VC,Chiratae Ventures
Eunimart,E-Commerce Platforms,Enterprise Software,Hyderabad,Andhra Pradesh,Eunimart is a unified SasS Platform that simplifies Omnichannel Sales for Small to Medium Global Retail Brands.,500034,$10M to $50M,Jan-17,eunimart.com/,2,Archana Shah,Shayak Mazumder,51-100,10,Seed,"Feb 2, 2023","₹ 1,00,00,000.00",Seed,"$ 8,41,883.00",12,Alchemist Accelerator,9Unicorns Accelerator Fund,LetsVenture,StartupLanes
Trendlyne Technologies,Analytics,Financial Services,Bangalore,Karnataka,"Trendlyne is a multi-geo analytics platform, that builds powerful equity analytics products for analysts, advisors and investors.",—,Less than $1M,"Aug 12, 2016",trendlyne.com,3,Amber Pabreja,Devi Yesodharan,Nov-50,5,Early Stage Venture,"Feb 2, 2022","$ 20,00,000.00",Series A,"$ 27,60,000.00",3,IIFL Securities,IIFL Special Opportunities Fund,,
Legistify,B2B,Internet,Gurgaon,Haryana,"A single integrated, end to end legal management suite for enterprise customers.",122001,$1M to $10M,"Dec 16, 2015",www.legistify.com,2,Akshat Singhal,Pratik Mohapatra,51-100,6,Early Stage Venture,"Sep 25, 2023","$ 40,00,000.00",Series A,"$ 45,00,000.00",13,Titan Capital,Y Combinator,JioGenNext,Kunal Bahl
Coutloot,E-Commerce,Fashion,Mumbai,Maharashtra,India's largest O2O social commerce platform which lets anyone create a store and sell online,—,$10M to $50M,"Apr 22, 2016",www.coutloot.com,3,Jasmeet Thind,Mahima Kaul,Nov-50,9,Early Stage Venture,"Aug 19, 2021","$ 2,50,00,000.00",Series A,"$ 2,90,84,118.00",14,Venture Catalysts,SOSV,Orbit Startups,Artha Group
TrustCheckr,Artificial Intelligence (AI),Fraud Detection,Bengaluru,Karnataka,TrustCheckr is a Bengaluru-based fraud analytics solution provider.,—,—,2017,www.trustcheckr.com,3,Adhip Ramesh,Praveen Raj,01-Oct,2,M&A,"Mar 30, 2022","₹ 7,00,00,000.00",Venture - Series Unknown,"$ 10,23,141.00",1,,,,
Lohum,Automotive,Manufacturing,Noida,Uttar Pradesh,Lohum manufactures lithium-ion battery packs and recovers critical battery materials from used lithium-ion batteries through recycling.,201 310,—,2017,www.lohum.com/,2,Justin Lemmon,Rajat Verma,Nov-50,2,Early Stage Venture,"Feb 9, 2024","$ 2,30,00,000.00",Series B,"$ 3,00,00,000.00",10,VenturEast,Stride Ventures,Cactus Venture Partners,Baring Private Equity Partners India
Probus Smart Things,Electronics,Energy,New Delhi,Delhi,Probus Smart Things provides an IoT solution for electricity distribution utilities.,—,$50M to $100M,"Jan 1, 2017",probussense.com/,2,Anand Singh,Ankit Vaish,Nov-50,3,Early Stage Venture,"Mar 9, 2023","₹ 24,50,00,000.00",Series A,"$ 34,87,129.00",7,Urmin Group,Anuj Khanna,Kuntesh Chandaria,Anmol Rastogi
Khabri,Apps,Audio,Haryana,Haryana,Khabri is a digital audio platform for content in vernacular.,122002,$1M to $10M,2016,khabri.app/,3,Aankit Roy,Pulkit Sharma,01-Oct,5,Seed,"Aug 4, 2021","₹ 15,50,00,000.00",Seed,"$ 22,39,232.00",12,Pioneer Fund,Rebel Fund,Nadav Ben-Chanoch,Liquid 2 Ventures
RAS Luxury Oils,Cosmetics,Organic,Raipur,Chhattisgarh,RAS Luxury Oils provides natural and organic skincare products.,—,$1M to $10M,2017,www.rasluxuryoils.com/,1,Shubhika Jain,,01-Oct,2,Seed,"Apr 11, 2023","₹ 12,30,00,000.00",Seed,"$ 34,98,714.00",2,Green Frontier Capital,,,
HappyLocate,Internet,Location Based Services,Bengaluru,Karnataka,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",560043,$100M to $500M,"Apr 11, 2016",www.happylocate.com/,2,Ajay Tiwari,Sainadh Duvvuru,501-1000,4,Seed,"May 18, 2022","$ 11,00,000.00",Seed,"$ 17,45,083.00",4,Inflection Point Ventures,RMZ Corp,VM Ventures,
MetaMorphoSys Technologies,Insurance,InsurTech,Pune,Maharashtra,"MetaMorphoSys Technologies is an insurtech company that develops product configurators, sales analytics, and underwriting engines.",411057,$1M to $10M,2016,metamorphtech.com,2,Amit Naik,Kewal Vargante,51-100,2,Seed,"Aug 17, 2022","₹ 23,00,00,000.00",Seed,"₹ 23,00,00,000.00",5,Capital 2B,Dhruv Dhanraj Bahl,Rahul Khanna,Pavitar Singh
Paytm Entertainment,E-Commerce,Events,New Delhi,Delhi,Paytm Entertainment develops and operates an online ticketing platform for booking movie tickets.,110019,—,2017,paytm.com/,—,,,5001-10000,3,—,"Mar 16, 2020","₹ 49,00,00,000.00",Venture - Series Unknown,"$ 2,00,44,353.00",2,Paytm,,,
BotLab Dynamics,Animation,Drones,New Delhi,Delhi,"BotLab Dynamics is a media company that specializes in scripting, 3D animations, drone light shows, photography, and VFX.",—,$1M to $10M,2016,botlabdynamics.com/,2,Anuj Kumar Barnwal,Tanmay Bunkar,Nov-50,1,—,"Aug 1, 2023","₹ 20,00,00,000.00",Venture - Series Unknown,"₹ 20,00,00,000.00",1,,,,
Roadcast,Business Information Systems,E-Commerce,New Delhi,Delhi,A Saas based platform offering powerful tools for logistics automation,110088,$1M to $10M,"Sep 25, 2015",roadcast.in/,3,Anshul Jain,Rahul Mehra,Nov-50,3,Early Stage Venture,"Jul 28, 2022","$ 20,00,000.00",Series A,"$ 29,22,350.00",1,,,,
MyCaptain,Career Planning,E-Learning,Bangalore,Karnataka,"MyCaptain offers beginner to Advanced bootcamps in Aspirational Careers across Marketing, Content, Design and Product",—,$50M to $100M,Apr-16,www.mycaptain.in/,4,Fatema Hussain,Mohammed Zeeshan,101-250,1,Seed,"Jan 18, 2022","$ 30,00,000.00",Seed,"$ 30,00,000.00",3,Ankur Capital,FirstPort Capital,,
Altum Credo,Banking,Finance,Pune,Maharashtra,Altum Credo is a Housing Finance Company.,—,$1M to $10M,"Jan 1, 2016",www.altumcredo.com/,3,Ashish Tiwari,Ganesh Rao,Nov-50,2,—,"Nov 22, 2021","₹ 88,00,00,000.00",Venture - Series Unknown,"₹ 1,52,00,00,000.00",3,Amicus Capital Partners,PS Pai & family,,
Goals101,Ad Targeting,Analytics,Delhi,Delhi,Goals101 is a Transaction Behavioural Intelligence (TBI) company that accelerates business growth for banks with the use of AI and ML.,110020,$1M to $10M,"Apr 29, 2016",www.goals101.ai,4,Jubin Mehta,Milan Naik,51-100,7,M&A,"Sep 18, 2021",—,Series A,"$ 65,14,000.00",5,Nexus Venture Partners,Sprout Venture Partners,Dentsu Group,Atul Goel
Stellar Value Chain Solutions,Logistics,Transportation,Mumbai,Maharashtra,Stellar Value Chain Solutions is a company focused on creating value for its customers across the entire Value Chain covering.,400012,$1M to $10M,2016,www.stellarvaluechain.com/,1,Anshuman Singh,,1001-5000,5,M&A,"Jul 4, 2020","$ 75,000.00",Series A,"$ 12,53,00,000.00",3,FasterCapital,Bashar Hamood,,
Gnani.ai,Analytics,Artificial Intelligence (AI),Bangalore,Karnataka,Conversational AI deep tech company using speech technology and NLP for automation and analytics of conversations over multiple channels,560004,—,2016,www.gnani.ai/,2,Ananth Nagaraj,Ganesh Gopalan,Nov-50,1,—,"Jul 10, 2019","$ 18,00,000.00",Venture - Series Unknown,"$ 18,00,000.00",1,,,,
Simyog Technology,Computer,Information Technology,Bengaluru,Karnataka,Simyog Technology develops EMI/EMC simulation software for front-loading during the early design phase.,—,$1M to $10M,2017,www.simyog.com/,3,Anant Devi,Arkaprovo Das,01-Oct,3,Seed,"Dec 14, 2023","₹ 20,00,00,000.00",Seed,"₹ 26,30,00,000.00",6,Mela Ventures,Robert Bosch Engineering & Business Solutions,Ideaspring Capital,Qualcomm Semiconductor Mentorship Program
InsuranceDekho,Auto Insurance,Financial Services,Haryana,Haryana,"InsuranceDekho is an insurtech company that provides travel, health, life, and car insurance services.",122022,$1B to $10B,2016,www.insurancedekho.com,2,Ankit Agrawal,Ish Babbar,1001-5000,5,Early Stage Venture,"Oct 10, 2023","$ 6,00,00,000.00",Series B,"$ 27,00,00,000.00",13,LeapFrog Investments,Eurazeo,Goldman Sachs,GirnarSoft
ElectraEV,Battery,Electric Vehicle,Pune,Maharashtra,Electra EV is India's electric vehicles powertrain solutions company,411057,$1M to $10M,2017,electraev.com/,—,,,101-250,1,Private Equity,"Nov 2, 2022","₹ 2,07,00,00,000.00",Private Equity,"₹ 2,07,00,00,000.00",1,,,,
Moonshine Meadery,Food and Beverage,,Pune,Maharashtra,Moonshine Meadery is a craft meadery.,412115,$1M to $10M,2016,moonshinemeadery.com/,2,Nitin Vishwas,Rohan Rehani,01-Oct,3,Seed,"Jul 5, 2023","₹ 5,50,00,000.00",Seed,"$ 26,67,522.00",7,Rainmatter Capital,Anthill Ventures,Lead Angels Network,Auxano
Connect and Heal,Health Care,Health Diagnostics,Mumbai,Maharashtra,Connect and Heal is an integrated health tech company providing end-to-end coordinated care and health cover.,—,$1M to $10M,"Dec 11, 2015",www.connectandheal.com/,3,Elwinder Singh,Galveender Kaur,501-1000,1,Early Stage Venture,"Feb 1, 2021","$ 1,10,00,000.00",Series A,"$ 1,10,00,000.00",1,,,,
Arrivae,Furniture,Home Services,Mumbai,Maharashtra,Arrivae is a furniture and interior design solution company.,—,$10M to $50M,"Jan 1, 2017",arrivae.com/,1,Yash Kela,,101-250,2,Early Stage Venture,"Dec 13, 2021","₹ 75,00,00,000.00",Series B,"₹ 1,25,00,00,000.00",9,Think Investments,Enam Holdings,Rakesh Jhunjhunwala,Harsh Jain
Digit Insurance,Finance,Financial Services,Bengaluru,Karnataka,Digit Insurance is a financial services company that provides general insurance services.,560095,—,2016,godigit.com,1,Kamesh Goyal,,1001-5000,9,—,"May 4, 2022","₹ 4,17,00,00,000.00",Venture - Series Unknown,"$ 58,56,17,180.00",15,Fairfax Financial Holdings,A91 Partners,Wellington Management,360 ONE Asset
GramCover,Farming,Financial Services,Noida,Uttar Pradesh,GramCover is an InsurTech marketplace that offers rural insurance products to farmers.,201301,$1M to $10M,2016,www.gramcover.com,6,Dhyanesh Bhatt,Jatin Singh,Nov-50,3,Early Stage Venture,"Oct 4, 2021","$ 70,00,000.00",Series A,"$ 2,70,17,565.00",7,Stride Ventures,Flourish Ventures,Omidyar Network India,Inflexor Ventures
Ambee,Analytics,Medical Device,,,Ambee is an Environment analytics startup.,560001,$1M to $10M,2017,www.getambee.com/,2,India,Asia-Pacific (APAC),Nov-50,8,Seed,"Aug 4, 2020","$ 75,000.00",Pre-Seed,"$ 16,70,621.00",10,Venture Catalysts,Spiral Ventures,Capier Investments,
Saarthi Pedagogy,E-Learning,Education,Ahmedabad,Gujarat,serving school as an academic growth partner and providing 360° solutions to schools on academic content,—,—,2016,www.saarthipedagogy.com/,1,Sushil Agarwal,,101-250,3,Seed,"Jan 31, 2023","₹ 10,00,00,000.00",Seed,"₹ 33,00,00,000.00",5,JITO Angel Network,GVFL,Pinnacle Investments,Ecosystem Ventures
Proost69,Brewing,Craft Beer,Gurgaon,Haryana,Proost69 offers a premium quality beer with a smooth taste.,122003,$1M to $10M,2017,www.proost69.com/,—,,,Nov-50,5,Seed,"Oct 25, 2023","₹ 25,00,00,000.00",Seed,"$ 44,07,182.00",12,The Chennai Angels,Mumbai Angels,Agility Ventures,India Accelerator
Aerchain,Enterprise Software,Logistics,Bengaluru,Karnataka,"Aerchain connects the procurement stakeholders seamlessly, increases visibility, encourages collaboration and improves efficiency.",560076,$1M to $10M,2016,www.aerchain.io/,2,Harsha Kadimisetty,Himavanth Jasti,Nov-50,2,Seed,"Sep 21, 2021","$ 30,00,000.00",Seed,"$ 30,00,000.00",3,Season Two Ventures,JioGenNext,,
Storia Foods,Food and Beverage,Health Care,Mumbai,Maharashtra,Storia Foods is a healthy beverage and snack startup.,400093,—,2016,shop.storiafoods.com/,1,Vishal Shah,,51-100,1,Early Stage Venture,"Oct 13, 2021","$ 60,00,000.00",Series A,"$ 60,00,000.00",1,,,,
Tummoc,Apps,Public Transportation,Bengaluru,Karnataka,Tummoc helps ease intra-city public transport journeys for the commuters of India.,560043,$1M to $10M,2016,www.tummoc.com/,,,,,,,,,,,,,,,
"COMING SOON to other cities). 

Plan your journey with the best possible public transport routes in seconds! Explore the fastest and cheapest bus","you'll be able to get a single QR/ticket for your entire multi-modal commute. 

Leading the Indian smart commute revolution",—,3,",,",https://www.crunchbase.com/person/monalisha-thakur-7eff,,,https://www.crunchbase.com/organization/inflection-point-ventures-d275,Nov-50,"$ 25,40,000.00",1,Alan Aim,,,,,,,,,,,,
ShipsKart,Marine Transportation,Software,New Delhi,Delhi,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.",110096,$1M to $10M,2017,shipskart.com/,3,Dhruv Sawhney,Sunny Bagla,01-Oct,2,Early Stage Venture,"Mar 16, 2022","₹ 20,50,00,000.00",Series A,"$ 31,96,501.00",6,Motion Ventures,Betatron Venture Group,Tradeworks.vc,Eternia Investments
Pathkind Labs,Health Care,Health Diagnostics,Delhi,Delhi,Pathkind Labs is a diagnostic company that provides a wide range of pathology facilities across the nation.,110060,$10M to $50M,"Jan 1, 2017",www.pathkindlabs.com,1,Sanjeev Vashishta,,101-250,1,Private Equity,"May 20, 2022","₹ 1,94,40,00,000.00",Private Equity,"₹ 1,94,40,00,000.00",1,,,,
Innov8 Coworking,Collaboration,Communities,New Delhi,Delhi,Innov8 is a Y- Combinator backed company that offers coworking and shared office spaces.,110001,$1M to $10M,"Oct 29, 2015",www.innov8.work,3,Dr Ritesh Malik,Shailesh Gupta,Nov-50,4,M&A,"Oct 11, 2018","$ 40,00,000.00",Seed,"$ 40,00,000.00",21,Y Combinator,LetsVenture,Zillionize,Kunal Shah
Clover,Agriculture,AgTech,Bengaluru,Karnataka,Clover produces management solutions for fruit and vegetable farmers.,560 001,$1M to $10M,2017,www.clover.ag,4,Arvind Murali,Avinash B R,Nov-50,5,Early Stage Venture,"Sep 29, 2022","$ 80,00,000.00",Series B,"$ 1,67,83,106.00",5,IvyCap Ventures,Alteria Capital,Mayfield Fund,Accel India
VTION Digital,Advertising,Analytics,Gurgaon,Haryana,VTION is a First Party Digital Consumer Behaviour Intelligence using patented technology,122002,Less than $1M,"Aug 8, 2016",www.vtion.in,1,Manoj Dawane,,Nov-50,3,Seed,"Jun 15, 2022","$ 13,00,000.00",Seed,"$ 20,98,678.00",4,Netcore Cloud,Core91 Fund,Angel List,
SafEarth,CleanTech,Software,Bengaluru,Karnataka,SafEarth Clean Technologies builds a consumer-centric platform for cleantech adoption.,—,—,"Jan 1, 2017",www.safearth.in/,4,Anuvrat Saboo,Harshit Poddar,01-Oct,2,Seed,"Jun 21, 2023","₹ 3,50,00,000.00",Seed,"$ 9,27,133.00",4,Anthill Ventures,Third Derivative,FTxSDG Challenge,
SuperZop,B2B,E-Commerce,Ahmedabad,Gujarat,SuperZop is an Agri-commerce platform for Kirana stores that is transforming the unorganized retail sector.,380015,$10M to $50M,2016,www.superzop.com/,3,Darshan Krishnamurthy,Prithwi Singh,01-Oct,2,Early Stage Venture,"Sep 20, 2021","$ 40,00,000.00",Series A,"$ 51,62,765.00",4,Incofin Investment Management,SIDBI Venture Capital,Gurumurthy Raman,
Edmingle,Information Technology,SaaS,Bengaluru,Karnataka,Edmingle is a learning management system software company.,560037,$1M to $10M,"Dec 16, 2016",www.edmingle.com,3,Danish Hakim,Gaurav Doshi,Nov-50,2,Seed,"Nov 24, 2022","$ 10,00,000.00",Seed,"$ 13,00,000.00",5,SucSEED Indovation,Keiretsu Forum,Jaideep Mehta,Gaurav Gulati
Symbo,FinTech,Insurance,Mumbai,Maharashtra,Making Insurance relevant and intuitive.,400070,—,2017,www.symbo.co,5,Adrit Raha,Anik Jain,101-250,1,Early Stage Venture,"Feb 1, 2021","$ 94,00,000.00",Series A,"$ 94,00,000.00",—,,,,
OmniBRx Biotechnologies,Biotechnology,Manufacturing,Ahmedabad,Gujarat,OmniBRx Biotechnologies produces technologically-advanced bioreactors for the pharmaceutical industry.,382210,$1M to $10M,"Jan 1, 2016",www.omnibrx.com,1,Ravindra Patel,,Nov-50,1,Early Stage Venture,"Mar 13, 2023","₹ 30,00,00,000.00",Series A,"₹ 30,00,00,000.00",1,,,,
KNAB Finance,Financial Services,FinTech,Bengaluru,Karnataka,"KNAB finance enables fast, flexible and easy short-term credit for businesses",560102,$1M to $10M,Oct-15,www.knabfinance.com,3,Mandeep Chaudhary,Thomas Varghese,Nov-50,5,—,"Aug 16, 2022","₹ 35,50,00,000.00",Venture - Series Unknown,"$ 61,61,232.00",7,Ashvin Chadha,DMI AIF Sparkle Fund,SK Jain,Krishnakumar Natarajan
ZunRoof,Clean Energy,CleanTech,Gurgaon,Haryana,ZunRoof is a home-tech startup bringing smart and clean energy for solar rooftop systems.,122010,$1M to $10M,"Jun 13, 2016",www.zunroof.com/,3,Kartik Marwah,Pranesh Chaudhary,51-100,5,Early Stage Venture,"Mar 16, 2020","$ 30,00,000.00",Series A,"$ 46,69,234.00",9,Paipal Ventures,Godrej family office,Intellecap Impact Investment Network,Ajith R. Pai
MyScoot,Communities,Events,New Delhi,Delhi,MyScoot is a platform for meeting new people at home-hosted social events.,110077,$1M to $10M,2017,www.myscoot.in/,4,Akhil Tripathi,Sidharth Rawat,Nov-50,2,Seed,"Jul 30, 2019","$ 17,00,000.00",Seed,"$ 18,50,000.00",6,Venture Highway,Lightspeed India Partners,Mayfield Fund,Kunal Shah
