company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,investor1,investor2,investor3,investor4,investor5,no of investor
Hatti Kaapi,Food and Beverage,Food Processing,Bengaluru,Karnataka,Hatti kaapi is a coffee outlet providing traditional filter coffee along with light foods like akki rotti and ragi rotti.,560042,$1M to $10M,2009,www.hattikaapi.com,1,Mahendar U.S.,Nov-50,1,Seed,"Sep 20, 2021","₹ 10,00,00,000.00",Seed,"₹ 10,00,00,000.00",Blue Wolf Capital Partners,CreedCap Asia Advisors,Kochi Holdings,Investribe,,4
Gemini Edibles and Fats India Pvt. Ltd,Manufacturing,,Hyderabad,Andhra Pradesh,Gemini Edibles & Fats India Private Limited is into the business of manufacturing and marketing of edible oils and fats.,—,—,2009,www.gefindia.com/,1,Pradeep Chowdhry,501-1000,1,M&A,"Sep 25, 2018","$ 8,81,00,000.00",Series B,"$ 8,81,00,000.00",,,,,,—
Naaptol,Retail,Shopping,Mumbai,Maharashtra,"Koku Gamer is an online platform that offers gaming related news, editorials, reviews, previews, and other content.",400607,—,2008,www.naaptol.com/,1,Manu Agarwal,501-1000,5,—,"Sep 10, 2018","$ 1,50,00,000.00",Venture - Series Unknown,"$ 12,12,00,000.00",Mitsui & Co,New Enterprise Associates,Silicon Valley Bank,Canaan Partners,,4
Canvera Digital Technologies,E-Commerce,Internet,Bangalore,Karnataka,"Canvera Digital Technologies is an online digital photography company that offers prints, calendars and photobooks.",560 102,—,2007,canvera.com,2,Dhiraj Kacker,251-500,9,—,"Sep 1, 2017","$ 13,00,000.00",Venture - Series Unknown,"$ 1,86,32,523.00",Info Edge,Mumbai Angels,Footprint Ventures,,,3
Mahindra First Choice,Automotive,Car Sharing,Mumbai,Maharashtra,Mahindra First Choice is India’s leading car mart,400062,$10M to $50M,"Aug 2, 2007",mahindrafirstchoice.com/,1,Ashutosh Pandey,501-1000,2,—,"Feb 2, 2018","$ 1,50,00,000.00",Venture - Series Unknown,"$ 3,00,00,000.00",Valiant Capital Partners,,,,,1
meritnation.com,E-Commerce,E-Learning,New Delhi,Delhi,India's largest online education platform with over 8.2 million K-12 students,110020,$10M to $50M,"Apr 10, 2009",www.meritnation.com,2,Pavan Chauhan,501-1000,3,M&A,"Nov 3, 2017","$ 58,00,000.00",Venture - Series Unknown,"$ 1,14,00,000.00",Info Edge,,,,,1
Vyome Therapeutics,Biotechnology,Health Care,Delhi,Delhi,"Vyome Therapeutics is an innovation driven company, with a vision to develop novel treatments for resistant pathogens",110092,—,2010,www.vyometx.com/,2,Shiladitya Sengupta,Nov-50,6,Late Stage Venture,"Jan 3, 2019","$ 2,20,00,000.00",Series D,"$ 4,83,00,000.00",Perceptive Advisors,Kalaari Capital,Sharrp Ventures,Romulus Capital,Iron Pillar,9
Metropolitan Stock Exchange of India,Stock Exchanges,,Mumbai,Maharashtra,"Metropolitan Stock Exchange of India (MSEI), the third national-level stock exchange in India",—,$1M to $10M,"Aug 14, 2008",www.msei.in/,1,Venkataraman U.,251-500,1,—,"Oct 31, 2017","₹ 2,09,00,00,000.00",Venture - Series Unknown,"₹ 2,09,00,00,000.00",Rakesh Jhunjhunwala,Rosy Blue Securities,IL&FS Trust Capital,Radhakrishan Damani,,4
Meru Cabs,Public Transportation,Taxi Service,Mumbai,Maharashtra,The pioneers of Private Radio Taxi services in India.,400093,$10M to $50M,2007,www.meru.in,1,Neeraj Gupta,1001-5000,3,M&A,"Jun 29, 2016","$ 2,50,00,000.00",Venture - Series Unknown,"$ 7,50,00,000.00",Brand Capital,True North,,,,2
PMaps,Analytics,Human Resources,Mumbai,Maharashtra,PMaps is India’s leading analytics driven Assessment Company. We aim to improve hiring outcomes through quick and scientific assessments.,400602,$1M to $10M,2011,www.pmapstest.com/,1,Saurabh Rana,Nov-50,3,Early Stage Venture,"Jun 9, 2022","₹ 5,00,00,000.00",Series A,"₹ 5,00,00,000.00",LetsVenture,Village Capital,Indian Angel Network,Shubhangi Jadhav,,4
SeedWorks International,Agriculture,Farming,Hyderabad,Andhra Pradesh,"SeedWorks International is a driven by research, ensures a continuous stream of improved products to cater to the customer's requirements",501 403,$10M to $50M,2008,www.seedworks.com/international/,1,Balaji Nukal,101-250,2,M&A,"Oct 27, 2016","$ 7,33,000.00",Series A,"$ 4,07,33,000.00",True North,,,,,1
IIFL Home Loan,Finance,Financial Services,Gurgaon,Haryana,IIFL Home Loan is a fintech solution provider that uses digital technology to make growth and housing more equitable and affordable.,—,$100M to $500M,2009,www.iiflhomeloans.com,—,,1001-5000,1,Private Equity,"Jun 9, 2022","₹ 22,00,00,00,000.00",Private Equity,"₹ 22,00,00,00,000.00",Abu Dhabi Investment Authority,,,,,1
Healthspring,Health Care,Hospital,Mumbai,Maharashtra,"Healthspring is a personalized healthcare services venture based in Mumbai, India.",400001,$1B to $10B,2010,healthspring.in,1,Jeff Rothenberger,501-1000,3,Private Equity,"May 15, 2016","$ 56,90,000.00",Private Equity,"$ 1,03,02,163.00",Columbia Pacific Advisors,Reliance Venture Asset Management,The Blue Venture Fund,Bharati Balakrishnan,Catamaran,6
Paras Healthcare,Cosmetic Surgery,Cosmetics,Haryana,Haryana,"Paras Healthcare was established in 2006, with the mission of providing specialized tertiary medical care services",122002,—,2006,www.parashospitals.com/,1,Dharminder Nagar,1001-5000,1,Private Equity,"Jul 17, 2017","$ 4,20,00,000.00",Private Equity,"$ 4,20,00,000.00",Creador,,,,,1
UrbanPro,Consumer,E-Learning,Bangalore,Karnataka,"UrbanPro (previously known as ThinkVidya) is India’s favorite learning destination for hiring Tutors, Trainers and Training Institutes.",560076,Less than $1M,2011,urbanpro.com,1,Rakesh Kalra,51-100,2,Seed,"May 26, 2015","$ 20,00,000.00",Seed,"$ 20,00,000.00",Nirvana Venture Advisors,,,,,1
MProfit Software,Information Technology,Software,Mumbai,Maharashtra,MProfit Software is an India’s leading portfolio management & accounting solution.,400-021,$1M to $10M,2007,www.mprofit.in/,3,Kiran Shah,51-100,1,—,"Jan 18, 2023","$ 20,00,000.00",Venture - Series Unknown,"$ 20,00,000.00",Rainmatter Capital,Gruhas,Auxano,Enam Holdings,Samarthya Investment Advisors,5
KOOH Sports,Education,Sports,Mumbai,Maharashtra,"KOOH Sports is a new age Sports Education, Training & Technology Company",400 090,—,Jun-10,www.koohsports.com/,2,Prabhu Srinivasan,251-500,3,—,"Oct 7, 2016","$ 22,00,000.00",Venture - Series Unknown,"$ 42,00,000.00",HDFC Bank,Tata Consultancy Services,Faering Capital,Susir Kumar,Prabhu Srinivasan,8
White Owl Brewery,Brewing,Consumer Goods,Mumbai,Maharashtra,White Owl Brewery is a microbrewery specializes in handcrafting beer using natural ingredients.,—,$1M to $10M,2011,whiteowl.in,1,Javed Murad,101-250,6,Early Stage Venture,"Oct 17, 2019","₹ 40,00,00,000.00",Series B,"$ 93,66,311.00",360 ONE Asset,AdvantEdge Founders,RAAY Global Investments,Arihant Patni,Eminence Global,5
Grene Robotics,Artificial Intelligence (AI),Cloud Computing,Hyderabad,Andhra Pradesh,"DSaaS, SaaS, AI & Machine Learning",500033,$1M to $10M,"Dec 22, 2009",www.grenerobotics.com,2,Kiran Penumacha,51-100,12,Seed,"Dec 1, 2022","$ 4,60,000.00",Seed,"$ 76,70,000.00",,,,,,—
Zopper,Developer APIs,FinTech,Noida,Uttar Pradesh,"Zopper is a financial insurance company that provides sales, operations, marketing, and financial reconciliation.",201301,$10M to $50M,2011,www.zopper.com,3,Mayank Gupta,51-100,3,M&A,"Sep 20, 2022","$ 7,50,00,000.00",Series C,"$ 10,00,00,000.00",Blume Ventures,Tiger Global Management,Bessemer Venture Partners,ICICI Venture,Creaegis,6
Tirupati Group,Health Care,Life Science,New Delhi,Delhi,Tirupati Group provides pharmaceutical and health care solutions.,—,$1M to $10M,"Jan 1, 2005",tirupatigroup.co.in,2,Ashok Goyal,101-250,1,Private Equity,"Aug 1, 2019","$ 5,00,00,000.00",Private Equity,"$ 5,00,00,000.00",Affirma Capital,,,,,1
CommonFloor,Commercial Real Estate,Intellectual Property,Bangalore,Karnataka,"CommonFloor enables users to buy, sell, and rent residential properties online in India.",560071,$100M to $500M,2007,www.commonfloor.com,3,Lalit Mangal,1001-5000,6,M&A,"Jan 8, 2015","$ 1,50,00,000.00",Series F,"$ 6,29,00,000.00",Accel,Tiger Global Management,CapitalG,,,3
Fullife Healthcare,Biopharma,Health Care,Mumbai,Maharashtra,Fullife Healthcare is a sports nutrition and supplements company.,400053,$1M to $10M,2009,www.fullife.co.in/,4,Shilpa Khanna,01-Oct,7,—,"Jul 27, 2022",—,Venture - Series Unknown,"$ 3,48,30,061.00",Sixth Sense Ventures,Kotak Securities,Amansa Capital,Rakesh Jhunjhunwala,Morgan Stanley Asia,9
New Door Hostels,Real Estate,Rental,Mumbai,Maharashtra,New Door Hostels is a provider of housing for students with the goal of providing a safe and secure living environment.,—,—,"Jan 1, 2005",www.goodhostspaces.com,1,Nimesh Grover,Nov-50,2,M&A,"Apr 23, 2021","₹ 2,16,18,00,000.00",Private Equity,"₹ 4,01,33,00,000.00",Goldman Sachs,Warburg Pincus,,,,2
Cropin,AgTech,Artificial Intelligence (AI),Bengaluru,Karnataka,Cropin is an AI and data-led agri-tech​ organization that provides SaaS solutions to agribusinesses globally using deep learning.,560029,$50M to $100M,Aug-10,www.cropin.com,2,Krishna Kumar,251-500,11,Late Stage Venture,"Dec 9, 2022","₹ 1,13,40,00,000.00",Series D,"$ 4,63,55,018.00",Google,Bill & Melinda Gates Foundation,BEENEXT,CDC Group,Chiratae Ventures,15
Citrus Payment Solutions,Banking,Financial Services,Mumbai,Maharashtra,Citrus Payment Solutions provides consumer payments and mobile banking services.,400052,$100M to $500M,2011,consumers.citruspay.com,3,Amrish Rau,251-500,3,M&A,"Oct 19, 2015","$ 2,50,00,000.00",Series C,"$ 3,25,00,000.00",Peak XV Partners,Ascent Capital,econtext Asia and Beenos Asia,,,3
DMI Finance,Banking,Finance,New Delhi,Delhi,"DMI Finance is a non-banking financial company that offers consumer loans, home loans, business finance, and asset management.",110002,—,2008,www.dmifinance.in,2,Shivashish Chatterjee,501-1000,4,Private Equity,"Apr 3, 2023","$ 40,00,00,000.00",Private Equity,"$ 80,06,86,436.00",Nexon,MUFG Bank,Sumitomo Mitsui Trust Bank,New Investment Solutions,,4
Piramal Realty,Commercial Real Estate,Property Management,Mumbai,Maharashtra,"Piramal Realty specializes in the fields of commercial real estate, property management, and real estate investment.",400 013,—,2011,piramalrealty.com/,1,Anand Piramal,1001-5000,2,Private Equity,"Aug 17, 2015","$ 15,00,00,000.00",Private Equity,"$ 43,40,00,000.00",Goldman Sachs,Warburg Pincus,,,,2
Future Supply Chain Solutions,E-Commerce,Logistics,Jogeshwari,Maharashtra,Future Supply Chain Solutions is an IT enabled end- to- end Supply Chain and Logistics company.,400060,$10M to $50M,Apr-07,www.futuresupplychains.com/,1,Anshuman Singh,1001-5000,2,IPO,"Dec 5, 2017","₹ 1,95,00,00,000.00",Private Equity,"₹ 1,95,00,00,000.00",SSG Capital Management,,,,,1
ESDS Software Solution Limited,Information Services,Information Technology,Nasik,Maharashtra,ESDS Software Solution is a Fully Managed Data Centers and Cloud Hosting Services in India.,422007,Less than $1M,2005,www.esds.co.in,1,Piyush Somani,501-1000,2,Private Equity,"Jun 5, 2018",—,Private Equity,"$ 40,00,000.00",Global Environment Fund Management,Canbank Venture Capital Fund,,,,2
FundsIndia,Banking,Finance,Chennai,Tamil Nadu,"FundsIndia.com known for its, zero-cost, automated mutual fund investment services.",600034,$10M to $50M,2009,www.fundsindia.com/,2,C.R. Chandrasekar,101-250,3,Late Stage Venture,"Jun 18, 2015","$ 1,10,00,000.00",Series C,"$ 1,52,42,000.00",Foundation Capital,Inventus Capital Partners,Athera Venture Partners,Faering Capital,,4
Medicover Hospitals,Health Care,Hospital,Hyderabad,Andhra Pradesh,Medicover Hospitals is a multispecialty hospital chain that offers a wide range of medical services.,—,$10M to $50M,"Jan 1, 2011",www.medicoverhospitals.in/,1,Dr. G. Hari Krishna,1001-5000,3,Early Stage Venture,"Sep 22, 2017","$ 1,64,00,000.00",Series B,"$ 2,87,80,000.00",Celox Group,Aniruddh Mundra,,,,2
Aizant,Life Science,Pharmaceutical,Hyderabad,Andhra Pradesh,"Aizant is a contract research organization, provides integrated drug development solutions.",500014,$10M to $50M,2005,www.aizant.com/,1,Varma Rudraraju S,101-250,2,Early Stage Venture,"Mar 27, 2017","$ 92,00,000.00",Series A,"$ 1,42,00,000.00",Zephyr Management,,,,,1
Komli Media,Advertising,Digital Media,Mumbai,Maharashtra,"Komli Media is a real-time digital technology platform providing solutions for display, mobile, video, search, and data-related areas.",400 098,$10M to $50M,"Oct 1, 2006",www.komli.com,2,Akshay Garg,51-100,6,—,"Aug 25, 2015","$ 40,00,000.00",Venture - Series Unknown,"$ 10,10,00,000.00",Nexus Venture Partners,Western Technology Investment,Norwest Venture Partners,Peepul Capital LLC,Helion Venture Partners,5
Enaltec Labs,Health Care,Medical,Mumbai,Maharashtra,Enaltec Labs is a pharma company that provides generic formulators and pharmaceutical products.,—,$10M to $50M,"Jan 1, 2006",enaltec.com/,2,Anand Shah,251-500,1,M&A,"Jan 1, 2017","₹ 66,00,00,000.00",Private Equity,"₹ 66,00,00,000.00",India Life Sciences Fund II,,,,,1
Track N Tell,Automotive,Mobile Apps,Haryana,Haryana,Track N Tell is a mobile application that enables its users to identify the location of their vehicles.,122002,$1M to $10M,2009,www.trakntell.com/,1,Pranshu Gupta,Nov-50,2,Early Stage Venture,"Jul 25, 2019","$ 50,00,000.00",Series B,"$ 50,00,000.00",Brian Acton,Chalet,Komojo,,,3
Buddy4Study.com,Career Planning,Education,Noida,Uttar Pradesh,Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,201301,$10M to $50M,2011,www.buddy4study.com,2,Ashutosh Burnwal,101-250,1,Early Stage Venture,"Mar 1, 2018","$ 30,00,000.00",Series A,"$ 30,00,000.00",SAGANA,CBA Capital,,,,2
iimjobs.com,Human Resources,Recruiting,New Delhi,Delhi,iimjobs.com is an exclusive online recruitment platform for middle and senior management positions in India.,110085,$1M to $10M,2008,www.iimjobs.com/registration/login.php,1,Tarun Matta,101-250,3,M&A,"Jan 1, 2019",—,Venture - Series Unknown,"$ 20,00,000.00",One97 Communications,AdvantEdge Founders,India Quotient,Calcutta Angels,The Morpheus,12
Momspresso,Child Care,Children,Gurgaon,Haryana,Momspresso provides parenting videos and blogs from mommy bloggers and experts.,122003,$1M to $10M,2010,www.momspresso.com/,3,Asif Mohamed,Nov-50,2,M&A,"Jan 6, 2016","$ 30,00,000.00",Series A,"$ 30,00,000.00",YourNest Venture Capital,SIDBI Venture Capital,,,,2
InsideIIM,Education,,Mumbai,Maharashtra,InsideIIM.com is an online service that covers aspects around management education.,—,Less than $1M,2011,insideiim.com/,1,Ankit Doshi,01-Oct,1,Seed,"Feb 15, 2022","₹ 3,76,00,000.00",Angel,"₹ 3,76,00,000.00",Amit Gupta,Gautam Gurnani,Rahul Gupta,Suhani Doshi,Saloni Doshi,9
ScaleneWorks People Solutions LLP,Human Resources,,Bangalore,Karnataka,"ScaleneWorks People Solutions LLP provides Human Capital Management Solutions, Task RPO, Enterprise RPO.",560029,$1M to $10M,2010,www.scaleneworks.com/,2,Ashish Tiwari,501-1000,1,M&A,"Sep 27, 2019","$ 10,00,000.00",Venture - Series Unknown,"$ 10,00,000.00",Hallmark Group,,,,,1
Crowdfire,Advertising,Apps,Mumbai,Maharashtra,"Crowdfire helps you discover and schedule content, and manage all your social accounts from one place.",—,$10M to $50M,2010,www.crowdfireapp.com,4,Anirudh Khusape,51-100,1,Early Stage Venture,"Mar 9, 2015","$ 25,00,000.00",Series A,"$ 25,00,000.00",Kalaari Capital,,,,,1
Soulfull,Agriculture,AgTech,Bengaluru,Karnataka,Soulfull manufactures and retails ready to eat cereals intended to provide a healthy breakfast.,560068,$1M to $10M,2011,www.soulfull.co.in/,5,Amith Sebastian,101-250,1,M&A,"Mar 22, 2018","$ 53,57,440.00",Series A,"$ 53,57,440.00",Aavishkaar Venture Capital,,,,,1
Kuliza,Lending,Software,Bangalore,Karnataka,Kuliza is a leading provider of digital transformation and operational intelligence solutions for financial enterprises.,560068,$1B to $10B,"Sep 1, 2006",www.kuliza.com,2,Anand Kuliza,251-500,2,—,"Apr 8, 2019","$ 30,00,000.00",Venture - Series Unknown,"$ 30,00,000.00",Blume Ventures,Emergent Ventures,,,,2
V-Ensure Pharma Technologies,Biotechnology,Pharmaceutical,Mumbai,Maharashtra,V-Ensure Pharma Technologies is into specialty pharmaceutical formulations focused on complex generics for regulated markets.,400 705,—,2010,v-ensure.com/,—,,Nov-50,1,—,"Feb 21, 2022","₹ 1,30,00,00,000.00",Venture - Series Unknown,"₹ 1,30,00,00,000.00",Investcorp,Tanas Capital,,,,2
IncNut Digital,Internet,,Hyderabad,Andhra Pradesh,"IncNut Digital is a leading global women’s lifestyle brand focused on Beauty & Wellness, Parenting, Food, Weddings and Interior Décor",500081,—,2011,incnut.com,2,Chaitanya Nallan,101-250,2,Early Stage Venture,"Jul 13, 2020","$ 40,00,000.00",Series A,"$ 40,00,000.00",VenturEast,RPSG Capital Ventures,,,,2
Cloudbankin,Lending,Software,Chennai,Tamil Nadu,Cloudbankin is a comprehensive digital lending software solution designed specifically for financial institutions.,600096,—,2008,www.habile.in,3,Barath Kris,Nov-50,1,—,"Jun 14, 2023","$ 4,00,000.00",Venture - Series Unknown,"$ 4,00,000.00",Upekkha AI SaaS Fund and Accelerator,Kube VC,Mohan Karuppiah,Ramanathan RV,Magendra Negi,5
FINO PayTech,Banking,Financial Services,Mumbai,Maharashtra,"FINO PayTech is a thought leader, innovator and implementer of technology solutions.",400 705,$1M to $10M,2006,www.finopaytech.com/,1,Manish Khera,1001-5000,2,Private Equity,"Jul 29, 2016","$ 3,76,00,000.00",Private Equity,"$ 3,76,00,000.00",Intel Capital,Bharat Petroleum Corp.,,,,2
Heckyl,Analytics,Big Data,Mumbai,Maharashtra,"Heckyl provides real-time financial information, news analytics, and heatmaps of markets and businesses.",400 076,Less than $1M,Dec-10,www.Heckyl.com,4,Abhijit Vedak,51-100,6,—,"Nov 21, 2017","₹ 17,64,00,000.00",Venture - Series Unknown,"$ 74,73,462.00",Notion Capital,Chiratae Ventures,Chiratae Ventures,SeedFund.in,Microsoft Accelerator Bangalore,6
JP Infra,Commercial Real Estate,Project Management,Maharashtra,India,JP INFRA are multi-faceted real estate builders and developers creating high-end residential projects and commercial properties in Mumbai.,400 093,$1M to $10M,2006,www.jpinfra.com,1,IndoStar Capital,101-250,1,—,"May 13, 2016","$ 1,50,00,000.00",Venture - Series Unknown,"$ 1,50,00,000.00",,,,,,1
DronaHQ,Data Collection and Labeling,Developer Tools,Mumbai,Maharashtra,"Low-code App Development Platform to build internal tools, admin panels, dashboards, data collection forms for mobile & web apps",400053,$1M to $10M,"Feb 7, 2007",www.dronahq.com/,3,Akash Shah,51-100,2,Seed,"Feb 22, 2018","$ 5,00,000.00",Angel,"$ 10,00,000.00",Kutchi Angel Network,,,,,1
K-12 Techno Services,EdTech,Education,Secunderabad,Andhra Pradesh,"K12 Techno Services is a K-12 school management company running over 80 schools across Hyderabad, Bangalore and Mumbai.",500026,$50M to $100M,2010,k12technoservices.com,1,Venkata Narayana,501-1000,6,—,"Sep 14, 2023",—,Venture - Series Unknown,"$ 2,10,22,480.00",Peak XV Partners,InnoVen Capital,Kedaara Capital,Kaizenvest,Song Advisors,5
Applied solar Technologies,Electrical Distribution,Infrastructure,Noida,Uttar Pradesh,AST provides off-grid solar power to the telecom and banking sectors.,—,$1M to $10M,2008,www.appliedsolartechnologies.com,1,Kapil Kathpalia,251-500,3,—,"Jun 8, 2015","$ 4,00,00,000.00",Venture - Series Unknown,"$ 8,56,00,000.00",Bessemer Venture Partners,Capricorn Investment Group,Future Fund,IFC Venture Capital Group,,4
Incor Infrastructure,Commercial Real Estate,Real Estate,Hyderabad,Andhra Pradesh,Incor Infrastructure is a residential and commercial real estate company.,500033,$1M to $10M,2007,www.incor.in/,1,G. Anand Reddy,501-1000,2,Private Equity,"Apr 6, 2022","$ 1,55,00,00,000.00",Private Equity,"$ 1,65,00,00,000.00",Investec,Brookfield Asset Management,Emerging India Credit Opportunities Fund I,,,3
Asian Institute of Medical Sciences,Biotechnology,Health Care,Faridabad,Haryana,"Asian Institute of Medical Sciences is a 425 bedded super specialty hospital in Faridabad, Delhi NCR, India, accredited by NABH and NABL.",—,$100M to $500M,"Feb 1, 2010",www.aimsindia.com/,1,Narendra Kumar Pandey,1001-5000,1,—,"Feb 6, 2018","$ 2,10,00,000.00",Venture - Series Unknown,"$ 2,10,00,000.00",British International Investment,OrbiMed,CDC Group,,,3
EduBridge,Education,Skill Assessment,Pune,Maharashtra,"EduBridge, an India-based skill development and vocational training company, provides formal sector jobs for individuals in rural areas.",411038,$50M to $100M,2009,www.edubridgeindia.com/,1,Girish Singhania,101-250,2,Early Stage Venture,"Feb 25, 2016","$ 25,00,000.00",Series A,"$ 28,00,000.00",Acumen,Insitor Partners,,,,2
Save Solutions,Banking,Financial Services,Gaya,Bihar,A Financial services provided Company.,823001,$1M to $10M,2009,www.savebc.com/,1,Ajeet Kumar Singh,51-100,2,Early Stage Venture,"Nov 22, 2021","₹ 60,00,00,000.00",Series A,"$ 1,40,61,260.00",Incofin Investment Management,Maj Invest Equity,,,,2
Collateral Medical,Health Care,Hospital,Andheri,Maharashtra,Collateral Medical is medical device marketing and distribution company,400059,$1M to $10M,2010,www.colmed.in,1,Nikhilesh Tiwari,101-250,2,Early Stage Venture,"Mar 30, 2018","₹ 7,50,00,000.00",Series B,"$ 46,52,435.00",Carpediem Capital,Samridhi Fund,,,,2
Orbis,Angel Investment,Customer Service,Gurgaon,Haryana,"Orbis is a financial service company offering investors customized securities, custody, RTA, and trustee services.",122002,$10M to $50M,2009,www.orbisfinancial.in/,1,Vijay Kelkar,101-250,2,—,"Oct 31, 2023","₹ 1,02,00,00,000.00",Venture - Series Unknown,"₹ 2,13,00,00,000.00",Ashish Kacholia,Madhulika Agarwal,,,,2
Sabka Dentist,Dental,Health Care,Mumbai,Maharashtra,Sabka Dentist is an organized chain of dental clinics in India.,400057,$10M to $50M,2009,www.sabkadentist.com/,1,Vikram Vora,501-1000,2,Late Stage Venture,"Jun 17, 2015","$ 80,00,000.00",Series C,"$ 1,80,00,000.00",LGT group,MAPE Advisory Group,SeedFund.in,Asian Healthcare Fund,,4
Fourth Ambit Technologies,Education,Information Technology,Bengaluru,Karnataka,Fourth Ambit is a specialist networking platform that creates value across stakeholders in the education ecosystem.,—,—,2011,www.fourthambit.com,3,Rahul Das,Nov-50,1,Seed,"May 9, 2017","₹ 4,00,00,000.00",Seed,"₹ 4,00,00,000.00",,,,,,—
TalentSprint Educational Services,Consulting,EdTech,Hyderabad,Andhra Pradesh,"TalentSprint provides professional education development programs, creating skillful professionals for the IT and BFSI sectors.",500 032,$1M to $10M,"Dec 1, 2008",www.talentsprint.com,1,Santanu Paul,501-1000,2,M&A,"Dec 24, 2018","$ 8,69,000.00",Series A,"$ 48,69,000.00",Nexus Venture Partners,,,,,1
Clove Dental,Dental,Health Care,New Delhi,Delhi,Clove Dental is a dental chain that provides end to end oral healthcare services.,110029,$10M to $50M,2011,www.clovedental.in,1,Amar Singh,1001-5000,3,Late Stage Venture,"Nov 23, 2023","₹ 4,17,00,00,000.00",Series E,"₹ 9,62,00,00,000.00",Investcorp,Qatar Investment Authority,Tybourne Capital Management,SPDG,SeaLink Capital Partners,5
Naari,Manufacturing,Pharmaceutical,Noida,Uttar Pradesh,Naari is a vertically integrated women's health pharma business focused on hormones.,201301,—,2007,naari.co/,3,Gulveen Kochhar,101-250,1,—,"Feb 5, 2020","$ 1,75,00,000.00",Venture - Series Unknown,"$ 1,75,00,000.00",Ascent Capital,,,,,1
Punjab Renewable Energy Systems,Energy,Renewable Energy,Mumbai,Maharashtra,Punjab Renewable Energy Systems provides biomass supply chain management services.,400 614,$1M to $10M,2011,www.prespl.com/,2,Monish Ahuja,Nov-50,3,Early Stage Venture,"Aug 28, 2019","₹ 19,60,00,000.00",Series B,"$ 77,28,703.00",responsAbility Investments,Shell Ventures,Neev Fund,,,3
Masaba,Fashion,Lifestyle,Mumbai,Maharashtra,House of Masaba is a chain of retail stores that sells designer wear for women.,400049,$1M to $10M,Jul-09,www.houseofmasaba.com/,2,Masaba Gupta,101-250,1,M&A,"Jul 9, 2019","$ 10,00,000.00",Venture - Series Unknown,"$ 10,00,000.00",Purple Style Labs,Binny Bansal,Apurva Salarpuria,Apoorva Patni,,4
IndiaHomes,Intellectual Property,Property Management,New Delhi,Delhi,Indiahomes is a real estate advisory that enables home buyers to make the decisions when it comes to buying a property.,110030,$1M to $10M,2007,www.indiahomes.com,1,Samarjit Singh,51-100,4,Late Stage Venture,"Aug 27, 2015","$ 9,76,000.00",Series G,"$ 7,97,76,000.00",Foundation Capital,New Enterprise Associates,Helion Venture Partners,,,3
Finnovate,Financial Services,Personal Finance,Mumbai,Maharashtra,"Finnovate help families manage personal finances including investments, insurances, budgeting, loans, tax, and succession.",400093,—,2007,www.finnovate.in/,—,,Nov-50,1,Seed,"Sep 15, 2022","$ 10,00,000.00",Seed,"$ 10,00,000.00",,,,,,—
Explara,Content Creators,Crowdfunding,Bangalore,Karnataka,"Explara helps creative entrepreneurs and small businesses to monetize from events, online selling, community, and crowdfunding.",560034,—,2008,www.explara.com/,2,Ashok Kumar,Nov-50,5,Seed,"Aug 1, 2016",—,Seed,"$ 4,86,433.00",Blume Ventures,Anthill Ventures,Microsoft Accelerator,Hyderabad Angels,Microsoft Accelerator Bangalore,14
iYogi,Hardware,Information Technology,Gurgaon,Haryana,iYogi provides online technical support services for a range of computing and communication devices.,122002,$10M to $50M,2007,iyogi.com,2,Uday Challu,1001-5000,5,Late Stage Venture,"May 8, 2014","$ 2,80,00,000.00",Series E,"$ 8,56,00,000.00",Sequoia Capital,Sapphire Ventures,Axon Partners Group,Canaan Partners,Saama Capital,6
Eye-Q,Health Care,Health Diagnostics,Gurgaon,Haryana,The Eye-Q hospital chain is committed to providing eye care at affordable cost across India.,—,Less than $1M,2007,eyeqindia.com,2,Ajay Sharma,51-100,6,—,"Jan 1, 2019",—,Venture - Series Unknown,"$ 3,80,00,000.00",International Finance Corporation,Nexus Venture Partners,InnoVen Capital,IFC Venture Capital Group,Helion Venture Partners,5
Azure Hospitality,Food and Beverage,Hospitality,New Delhi,Delhi,Azure’s brands have been developed to offer a distinct mix of carefully curated food and beverage,110020,$500M to $1B,2009,www.azurehospitality.com/index.html,1,Kabir suri,501-1000,4,—,"Jan 24, 2018","₹ 65,00,00,000.00",Venture - Series Unknown,"$ 3,72,43,263.00",Goldman Sachs,Max Ventures and Industries,,,,2
Archean Chemical Industries,Biotechnology,Manufacturing,Chennai,Tamil Nadu,"Archean Chemical Industries is a chemicals manufacturing company that produces industrial salt, bromine, and sulfate of potash.",—,$50M to $100M,Jul-09,www.archeangroup.com,—,,1001-5000,2,—,"Nov 26, 2018","₹ 11,00,00,00,000.00",Venture - Series Unknown,"₹ 11,00,00,00,000.00",India Resurgent Fund,,,,,1
Goomo.com,Hospitality,Travel,Mumbai,Maharashtra,"Goomo.com offers fully customizable travel options for individuals, groups, and institutions.",400051,—,Feb-06,www.goomo.com/,1,Varun Gupta,251-500,1,Private Equity,"Jun 5, 2017","$ 5,00,00,000.00",Private Equity,"$ 5,00,00,000.00",Emerging India,,,,,1
