Company,Funding Round,Amount,Date,RupeesAmount,dollarAmt,CID
Credright,Debt Financing,—,"Aug 31, 2023",0,0,CID2745
Enrico,Pre-Seed,"₹21,000,000","Dec 21, 2023",21000000,252000,CID2746
Urja Mobility,Corporate Round,—,"Dec 22, 2023",0,0,CID2747
OneStack,Series A,"$2,000,000","Jul 12, 2023",150000000,1800000,CID2748
Axiom Ayurveda,Corporate Round,—,"Sep 28, 2023",0,0,CID2749
ETO Mobility Services Private Limited,Grant,"₹124,500,000","Dec 22, 2023",124500000,1494000,CID2750
Bidso,Pre-Seed,"$300,000","Aug 8, 2023",22500000,270000,CID2751
Amazon Seller Services,Corporate Round,"₹8,300,000,000","Feb 11, 2024",8300000000,99600000,CID2752
NiYO Solutions,Venture - Series Unknown,—,"Oct 20, 2023",0,0,CID2753
HiWi,Pre-Seed,"₹72,500,000","Oct 19, 2023",72500000,870000,CID2754
Mestastop Solutions,Seed,"₹45,000,000","Oct 19, 2023",45000000,540000,CID2755
Hearzap,Series A,"₹500,000,000","Nov 8, 2023",500000000,6000000,CID2756
Go Zero,Seed,"$1,000,000","Aug 8, 2023",75000000,900000,CID2757
branchX,Seed,"₹75,000,000","Nov 8, 2023",75000000,900000,CID2758
BYJU'S,Debt Financing,"$250,000,000","May 13, 2023",18750000000,225000000,CID2759
Max Financial Services,Post-IPO Secondary,"₹9,820,000,000","Aug 24, 2023",9820000000,117840000,CID2760
Up,Seed,"₹340,000,000","Feb 8, 2024",340000000,4080000,CID2761
Monitra Healthcare,Seed,"$1,500,000","Dec 19, 2023",112500000,1350000,CID2762
ControlZ,Debt Financing,—,"Feb 7, 2024",0,0,CID2763
S H Kelkar and Company Limited,Grant,"$50,000","Nov 4, 2023",3750000,45000,CID2764
Jagatjit Industries,Post-IPO Debt,"₹1,800,000,000","Oct 17, 2023",1800000000,21600000,CID2765
Vioma Lifesciences Pvt. Ltd,Series A,"$3,000,000","Nov 1, 2023",225000000,2700000,CID2766
RevFin,Venture - Series Unknown,—,"Feb 5, 2024",0,0,CID2767
MangoPoint,Angel,"₹35,000,000","Dec 19, 2023",35000000,420000,CID2768
Beautywise,Grant,"$10,000","Nov 4, 2023",750000,9000,CID2769
Data Sutram,Series A,"₹249,600,000","Sep 26, 2023",249600000,2995200,CID2770
BetterSpace,Pre-Seed,"₹4,500,000","Dec 12, 2023",4500000,54000,CID2771
Finayo,Debt Financing,—,"Dec 18, 2023",0,0,CID2772
GoApptiv,Corporate Round,"₹420,000,000","Dec 14, 2023",420000000,5040000,CID2773
Neverinstall,Seed,"$600,000","Nov 10, 2023",45000000,540000,CID2774
Daily Staple,Pre-Seed,"₹17,600,000","Sep 6, 2023",17600000,211200,CID2775
Infurnia Technologies,Venture - Series Unknown,"$1,200,000","Oct 31, 2023",90000000,1080000,CID2776
GradRight,Series A,"₹500,000,000","Aug 24, 2023",500000000,6000000,CID2777
Vridhi Home Finance,Series A,"₹1,500,000,000","Oct 30, 2023",1500000000,18000000,CID2778
Regency Healthcare,Secondary Market,"₹4,500,000,000","Nov 7, 2023",4500000000,54000000,CID2779
ChargeZone,Venture - Series Unknown,—,"Dec 12, 2023",0,0,CID2780
Parcel,Seed,"$2,500,000","Sep 21, 2021",187500000,2250000,CID2781
Hatchfast,Pre-Seed,"₹12,500,000","Oct 28, 2023",12500000,150000,CID2782
Printmann Group,Private Equity,—,"Feb 13, 2024",0,0,CID2783
insideFPV,Seed,—,"Sep 21, 2023",0,0,CID2784
MoveInSync,Series C,"₹1,250,000,000","Jan 29, 2024",1250000000,15000000,CID2785
Oyela,Seed,"₹144,000,000","Oct 9, 2023",144000000,1728000,CID2786
Flipkart,Secondary Market,"$1,400,000,000","Jul 31, 2023",1.05E+11,1260000000,CID2787
JoySpoon,Seed,"₹12,500,000","Oct 28, 2023",12500000,150000,CID2788
Boxs,Seed,"$1,600,000","Aug 22, 2023",120000000,1440000,CID2789
JSW Paints,Corporate Round,"₹7,500,000,000","Nov 23, 2023",7500000000,90000000,CID2790
Docosage,Pre-Seed,—,"Jan 24, 2024",0,0,CID2791
Infra.Market,Debt Financing,"₹1,000,000,000","Jan 24, 2024",1000000000,12000000,CID2792
Ashv Finance,Series E,"₹833,300,000","Dec 6, 2023",833300000,9999600,CID2793
Sarvam AI,Seed,—,"Dec 7, 2023",0,0,CID2794
Jupiter Wagons,Post-IPO Equity,"₹4,030,000,000","Dec 5, 2023",4030000000,48360000,CID2795
Finsire,Seed,"$1,300,000","Mar 15, 2023",97500000,1170000,CID2796
Shriram Properties,Post-IPO Secondary,"₹1,900,000,000","Dec 5, 2023",1900000000,22800000,CID2797
ZOFF,Angel,"₹10,000,000","Feb 9, 2023",10000000,120000,CID2798
Sula Vineyards,Post-IPO Secondary,"₹5,130,000,000","Aug 31, 2023",5130000000,61560000,CID2799
Mamaearth,Post-IPO Secondary,"₹2,300,000,000","Dec 5, 2023",2300000000,27600000,CID2800
Recykal,Series A,"$7,360,000","Sep 1, 2022",552000000,6624000,CID2801
MoEVing,Seed,—,"Dec 1, 2023",0,0,CID2802
J.C. Flowers Asset Reconstruction,Private Equity,"₹24,000,000","Oct 27, 2023",24000000,288000,CID2803
YouVah,Pre-Seed,"₹17,400,000","Oct 4, 2023",17400000,208800,CID2804
Kale Logistics Solutions,Series B,"$30,000,000","Sep 11, 2023",2250000000,27000000,CID2805
Expertrons,Seed,—,"Aug 7, 2023",0,0,CID2806
Shriram Transport Finance Company,Post-IPO Debt,"$420,000,000","Dec 1, 2008",31500000000,378000000,CID2807
Karnataka Bank,Post-IPO Equity,"₹8,000,000,000","Oct 26, 2023",8000000000,96000000,CID2808
Adani Green Energy,Post-IPO Equity,"₹39,560,000,000","Aug 7, 2023",39560000000,474720000,CID2809
KoinX,Venture - Series Unknown,—,"Jan 16, 2024",0,0,CID2810
Shriram Transport Finance Company,Post-IPO Debt,"$490,000,000","Sep 1, 2010",36750000000,441000000,CID2811
Cellogen Therapeutics,Corporate Round,"₹150,100,000","Jan 17, 2024",150100000,1801200,CID2812
Firstup Spaces,Seed,"₹20,000,000","Nov 28, 2023",20000000,240000,CID2813
Sapphire Systems,Private Equity,—,"Jan 5, 2020",0,0,CID2814
Aretto,Seed,"₹45,600,000","Aug 17, 2023",45600000,547200,CID2815
Cygnus Medicare,Debt Financing,"₹1,500,000,000","Jan 15, 2024",1500000000,18000000,CID2816
Farmology,Seed,—,"Jul 31, 2023",0,0,CID2817
ANSR,Venture - Series Unknown,"$150,000,000","Oct 25, 2023",11250000000,135000000,CID2818
Oben Electric,Seed,"₹400,000,000","Jun 27, 2023",400000000,4800000,CID2819
OneDios,Convertible Note,"₹60,000,000","Nov 29, 2023",60000000,720000,CID2820
Edumoon,Seed,"₹2,000,000","May 1, 2022",2000000,24000,CID2821
Krutrim,Debt Financing,"$24,000,000","Oct 10, 2023",1800000000,21600000,CID2822
TBO.com,Private Equity,—,"Oct 21, 2023",0,0,CID2823
Pee Safe,Series B,"₹250,000,000","Sep 11, 2023",250000000,3000000,CID2824
Quick Smart Wash,Series B,"₹400,000,000","Sep 28, 2023",400000000,4800000,CID2825
Ambitio,Pre-Seed,"₹15,500,000","Jan 10, 2024",15500000,186000,CID2826
Grip Invest,Convertible Note,"₹120,000,000","Jan 9, 2024",120000000,1440000,CID2827
Cult.fit,Series F,"$145,000,000","Nov 9, 2021",10875000000,130500000,CID2828
AayushBharat,Seed,—,"Jul 14, 2023",0,0,CID2829
Unstop,Seed,"$5,000,000","Aug 2, 2023",375000000,4500000,CID2830
AU Small Finance Bank,Debt Financing,"$20,000,000","Mar 1, 2013",1500000000,18000000,CID2831
Docker Vision,Seed,—,"Nov 21, 2023",0,0,CID2832
Swapp Design,Pre-Seed,—,"Oct 19, 2023",0,0,CID2833
Simactricals,Seed,—,"Nov 21, 2023",0,0,CID2834
EVhicle Mobility,Seed,—,"Nov 21, 2023",0,0,CID2835
Rocketium,Venture - Series Unknown,"$5,300,000","Aug 24, 2023",397500000,4770000,CID2836
ReCircle,Seed,—,"Sep 26, 2023",0,0,CID2837
Smarter Dharma,Seed,"₹41,600,000","Oct 19, 2023",41600000,499200,CID2838
Redwing,Seed,"$1,000,000","Feb 15, 2021",75000000,900000,CID2839
Hectar Global,Seed,"$2,100,000","Jul 12, 2023",157500000,1890000,CID2840
Welcome Cure,Seed,"₹40,000,000","Oct 19, 2023",40000000,480000,CID2841
What's Up Wellness,Seed,"₹144,000,000","Aug 9, 2023",144000000,1728000,CID2842
Artinci,Seed,"$12,079","Nov 14, 2022",905925,10871.1,CID2843
Dorje Teas,Seed,"₹3,000,000","Jan 6, 2023",3000000,36000,CID2844
Indifi Technologies,Series E,"₹2,882,995,500","Jun 13, 2023",2882995500,34595946,CID2845
50fin,Pre-Seed,"₹42,500,000","Jul 4, 2023",42500000,510000,CID2846
Fruitoholic,Debt Financing,—,"Feb 17, 2024",0,0,CID2847
FirstCry,Secondary Market,"₹4,350,000,000","Aug 21, 2023",4350000000,52200000,CID2848
ZestMoney,Venture - Series Unknown,—,"Aug 8, 2023",0,0,CID2849
Figr,Pre-Seed,"$250,000","Sep 26, 2023",18750000,225000,CID2850
Niva Bupa,Private Equity,"₹8,000,000,000","Oct 12, 2023",8000000000,96000000,CID2851
Homified,Pre-Seed,"₹10,000,000","Dec 9, 2023",10000000,120000,CID2852
Flutrr,Angel,"₹40,000,000","Oct 13, 2023",40000000,480000,CID2853
Polkarare,Seed,"$2,000,000","Apr 29, 2021",150000000,1800000,CID2854
ThinkMetal,Pre-Seed,"$300,000","Sep 13, 2023",22500000,270000,CID2855
Tata Technologies,Secondary Market,"₹16,137,000,000","Oct 13, 2023",16137000000,193644000,CID2856
Himshakti,Pre-Seed,"₹830,000,000","Apr 1, 2023",830000000,9960000,CID2857
Leads Connect Services,Corporate Round,"₹5,000,000,000","Sep 13, 2023",5000000000,60000000,CID2858
Dreamfly Innovations,Angel,"$300,000","Sep 15, 2023",22500000,270000,CID2859
Meolaa,Seed,"₹166,000,000","Oct 10, 2023",166000000,1992000,CID2860
iSprout - Inspiring Workspaces,Debt Financing,"₹400,000,000","Oct 10, 2023",400000000,4800000,CID2861
ideaForge,Venture - Series Unknown,"₹600,000,000","Jun 15, 2023",600000000,7200000,CID2862
Blue Tokai Coffee Roasters,Series B,"$30,000,000","Jan 18, 2023",2250000000,27000000,CID2863
Jimmy's Cocktails,Seed,"₹110,000,000","Jul 18, 2023",110000000,1320000,CID2864
Eske,Seed,"₹25,000,000","Feb 11, 2022",25000000,300000,CID2865
SustLabs,Non-equity Assistance,—,"Dec 19, 2023",0,0,CID2866
Rapidor,Non-equity Assistance,—,"Oct 17, 2019",0,0,CID2867
Apiria Technology,Non-equity Assistance,—,"Oct 17, 2019",0,0,CID2868
Minko,Non-equity Assistance,—,"Oct 17, 2019",0,0,CID2869
Swipez,Non-equity Assistance,—,"Oct 17, 2019",0,0,CID2870
Wearberry,Non-equity Assistance,—,"Oct 17, 2019",0,0,CID2871
Beyond Snáck,Seed,"$3,500,000","Jul 27, 2023",262500000,3150000,CID2872
Farm Infinity,Non-equity Assistance,"$45,000","Dec 10, 2021",3375000,40500,CID2873
Minifeel,Pre-Seed,"₹30,000,000","Jul 25, 2023",30000000,360000,CID2874
CloudNBFC,Non-equity Assistance,—,"Oct 17, 2019",0,0,CID2875
Wadhwani AI,Grant,"$3,300,000","Oct 19, 2023",247500000,2970000,CID2876
Xane.ai,Non-equity Assistance,—,"Feb 17, 2021",0,0,CID2877
DROR,Non-equity Assistance,—,"Feb 17, 2021",0,0,CID2878
Wellversed,Non-equity Assistance,—,"Feb 17, 2021",0,0,CID2879
Hypersign,Non-equity Assistance,—,"Feb 5, 2024",0,0,CID2880
Xtracap Fintech,Non-equity Assistance,—,"Feb 17, 2021",0,0,CID2881
Canpac Trends,Private Equity,"$340,000,000","Dec 14, 2023",25500000000,306000000,CID2882
Fleming Laboratories,Private Equity,"₹1,100,000,000","Dec 19, 2023",1100000000,13200000,CID2883
Fingage,Non-equity Assistance,—,"Oct 17, 2019",0,0,CID2884
Hiper Automotive,Non-equity Assistance,—,"Jan 28, 2021",0,0,CID2885
ZedBlox,Non-equity Assistance,—,"Jan 28, 2021",0,0,CID2886
ENHANCE HEAD NECK REHABILITATION,Non-equity Assistance,—,"Jan 28, 2021",0,0,CID2887
Dubverse,Non-equity Assistance,—,"Jan 28, 2021",0,0,CID2888
RecordBook,Non-equity Assistance,—,"Jan 28, 2021",0,0,CID2889
Taskmonk,Non-equity Assistance,—,"Jul 20, 2020",0,0,CID2890
eShipz,Non-equity Assistance,—,"Dec 20, 2019",0,0,CID2891
SpiderG,Non-equity Assistance,—,"Dec 20, 2019",0,0,CID2892
Shoppre.com,Non-equity Assistance,—,"Dec 20, 2019",0,0,CID2893
Vicara,Non-equity Assistance,—,"Jul 20, 2020",0,0,CID2894
Embright Infotech,Non-equity Assistance,—,"Jan 28, 2021",0,0,CID2895
Legistify,Non-equity Assistance,—,"Jul 20, 2020",0,0,CID2896
Dozee,Non-equity Assistance,—,"Jul 20, 2020",0,0,CID2897
Chainrisk (prev UNSNARL),Non-equity Assistance,—,"Feb 5, 2024",0,0,CID2898
The Cultor,Non-equity Assistance,—,"Feb 17, 2021",0,0,CID2899
Eatabl,Non-equity Assistance,—,"Dec 20, 2019",0,0,CID2900
qZense Labs,Non-equity Assistance,—,"Dec 20, 2019",0,0,CID2901
Plutomen,Non-equity Assistance,—,"Jul 20, 2020",0,0,CID2902
Krishitantra,Non-equity Assistance,—,"Jan 28, 2021",0,0,CID2903
Vadootv,Non-equity Assistance,—,"Jul 20, 2020",0,0,CID2904
Brookfield India Real Estate Trust,Post-IPO Equity,"₹23,050,000","Aug 2, 2023",23050000,276600,CID2905
Sterling and Wilson Renewable Energy,Post-IPO Equity,"₹15,000,000,000","Dec 15, 2023",15000000000,180000000,CID2906
Aerchain,Non-equity Assistance,—,"Dec 20, 2019",0,0,CID2907
Aikenist,Non-equity Assistance,—,"Jan 28, 2021",0,0,CID2908
30M Genomics,Non-equity Assistance,—,"Jan 28, 2021",0,0,CID2909
HotelYaari,Seed,"₹180,000,000","Sep 14, 2023",180000000,2160000,CID2910
Regency Healthcare,Venture - Series Unknown,—,"Nov 7, 2023",0,0,CID2911
Neuron Energy,Seed,"₹2,000,000,000","Jul 12, 2023",2000000000,24000000,CID2912
1BRIDGE,Convertible Note,"₹40,000,000","Sep 12, 2023",40000000,480000,CID2913
Dil Foods,Seed,"$2,000,000","Jul 25, 2023",150000000,1800000,CID2914
Absolute Brands,Seed,"₹210,000,000","Dec 13, 2023",210000000,2520000,CID2915
Sitara,Debt Financing,"₹1,200,000,000","Dec 14, 2023",1200000000,14400000,CID2916
Orbis,Venture - Series Unknown,"₹1,020,000,000","Oct 31, 2023",1020000000,12240000,CID2917
MedLern,Corporate Round,—,"Oct 30, 2023",0,0,CID2918
Apkfollow,Seed,—,"Feb 12, 2024",0,0,CID2919
Plotch,Pre-Seed,—,"Jul 26, 2023",0,0,CID2920
Anatomech,Pre-Seed,—,"Feb 9, 2024",0,0,CID2921
Answer Genomics,Seed,"$500,000","Oct 5, 2023",37500000,450000,CID2922
Aikaan Lab Pvt Ltd,Non-equity Assistance,—,"Jul 20, 2020",0,0,CID2923
TSS Consultancy,Venture - Series Unknown,—,"Sep 11, 2023",0,0,CID2924
Mensa Brands,Debt Financing,"₹3,300,000,000","Oct 4, 2023",3300000000,39600000,CID2925
GalaxEye,Non-equity Assistance,—,"Dec 8, 2023",0,0,CID2926
AllTrak,Seed,"₹42,000,000","Dec 7, 2023",42000000,504000,CID2927
Cashify,Venture - Series Unknown,"$98,000,000","Nov 3, 2023",7350000000,88200000,CID2928
Vacus Tech,Non-equity Assistance,—,"Jul 13, 2022",0,0,CID2929
Arrowhead,Pre-Seed,—,"Feb 9, 2024",0,0,CID2930
Sunbird Straws,Grant,—,"Oct 27, 2023",0,0,CID2931
Reliance Jio,Debt Financing,"₹166,400,000,000","Oct 3, 2023",1.664E+11,1996800000,CID2932
River,Series B,"₹1,230,000,000","Jun 6, 2023",1230000000,14760000,CID2933
FilterPixel Private Limited,Non-equity Assistance,—,"Dec 8, 2023",0,0,CID2934
Tailz,Pre-Seed,—,"Feb 9, 2024",0,0,CID2935
Mitsu,Funding Round,—,"Sep 12, 2023",0,0,CID2936
Ease My Vacations,Seed,"$3,000,000","Feb 8, 2024",225000000,2700000,CID2937
Nutrifresh,Seed,—,"Jul 31, 2023",0,0,CID2938
Beatoven.ai,Non-equity Assistance,—,"Dec 8, 2023",0,0,CID2939
Herby Angel,Seed,"₹208,000,000","Nov 21, 2023",208000000,2496000,CID2940
Aaritya Technologies,Seed,—,"Sep 8, 2023",0,0,CID2941
Living Food,Series A,"$1,324,998","May 26, 2023",99374850,1192498.2,CID2942
JSW Steel,Post-IPO Equity,"₹7,170,000,000","Aug 17, 2023",7170000000,86040000,CID2943
Pluckk,Angel,—,"Aug 10, 2023",0,0,CID2944
Kidbea,Seed,"$1,000,000","May 1, 2023",75000000,900000,CID2945
Pillsbee,Angel,"₹15,300,000","Feb 3, 2024",15300000,183600,CID2946
Saltech Design Labs,Grant,"$100,000","Feb 8, 2023",7500000,90000,CID2947
THIRUMALS PAPER ARIZONA PVT. LTD.,Seed,"$2,500,000","May 5, 2023",187500000,2250000,CID2948
Saarthi.ai,Seed,—,"Jul 1, 2022",0,0,CID2949
S4S Technologies,Grant,"£1,000,000","Nov 7, 2023",0,0,CID2950
Arficus,Non-equity Assistance,—,"Feb 16, 2024",0,0,CID2951
Fitspire,Seed,—,"Aug 8, 2023",0,0,CID2952
Lodha Group,Post-IPO Debt,"₹6,500,000,000","Oct 24, 2023",6500000000,78000000,CID2953
Karnataka Bank,Post-IPO Equity,"₹1,000,000,000","Jan 27, 2024",1000000000,12000000,CID2954
GIVA,Series B,"₹2,000,000,000","Jul 5, 2023",2000000000,24000000,CID2955
Analytics Jobs,Seed,—,"Jan 23, 2024",0,0,CID2956
Vikran Engineering & Exim,Venture - Series Unknown,"₹815,000,000","Jan 25, 2024",815000000,9780000,CID2957
Naandi Foundation,Grant,"$250,000","Jan 23, 2024",18750000,225000,CID2958
MOPP Foods,Seed,"₹7,500,000","Jan 20, 2023",7500000,90000,CID2959
Namdev Finvest,Series A,"₹350,000,000","Sep 25, 2021",350000000,4200000,CID2960
JustMyRoots,Angel,—,"Jul 7, 2023",0,0,CID2961
Phases Skincare,Angel,"₹3,000,000","Nov 20, 2023",3000000,36000,CID2962
O' Be Cocktails,Seed,—,"Nov 9, 2023",0,0,CID2963
MyEra,Pre-Seed,—,"Nov 2, 2023",0,0,CID2964
SK Finance,Secondary Market,—,"Jan 23, 2024",0,0,CID2965
Aditya Birla Capital,Post-IPO Equity,"₹30,000,000,000","Jun 30, 2023",30000000000,360000000,CID2966
Religare,Post-IPO Equity,"₹5,340,000,000","Aug 16, 2023",5340000000,64080000,CID2967
Ultimate Kho Kho,Series A,—,"Nov 21, 2023",0,0,CID2968
Gladful,Seed,"₹5,000,000","Feb 24, 2023",5000000,60000,CID2969
GreenJams,Non-equity Assistance,—,"Mar 8, 2023",0,0,CID2970
MrMed,Seed,"$500,000","Aug 30, 2023",37500000,450000,CID2971
Pennant Technologies,Corporate Round,"₹2,675,000,000","Oct 17, 2023",2675000000,32100000,CID2972
Alt Mobility,Debt Financing,—,"Jan 18, 2024",0,0,CID2973
Aurassure,Seed,"₹40,000,000","Sep 20, 2023",40000000,480000,CID2974
AU Small Finance Bank,Debt Financing,"$42,400,000","Mar 1, 2017",3180000000,38160000,CID2975
Deltafour,Pre-Seed,—,"Apr 1, 2023",0,0,CID2976
Jodaro,Seed,"$750,000","Nov 22, 2023",56250000,675000,CID2977
Pushpak AI,Non-equity Assistance,—,"Nov 21, 2023",0,0,CID2978
Zomato,Post-IPO Secondary,"₹9,470,000,000","Aug 30, 2023",9470000000,113640000,CID2979
Coulomb AI,Non-equity Assistance,"$20,000","Jan 15, 2024",1500000,18000,CID2980
Fairylife,Angel,"$263,000","Jan 18, 2024",19725000,236700,CID2981
Hanto,Seed,"₹150,000,000","Nov 20, 2023",150000000,1800000,CID2982
Wow! Momo,Secondary Market,—,"Jan 16, 2024",0,0,CID2983
Kozynap,Seed,—,"Nov 18, 2023",0,0,CID2984
Onlygood,Non-equity Assistance,—,"Nov 21, 2023",0,0,CID2985
The Good Bug,Series A,"$3,500,000","Sep 17, 2023",262500000,3150000,CID2986
Shiprocket,Series E,"₹907,000,000","Oct 9, 2023",907000000,10884000,CID2987
Omaxe,Post-IPO Debt,"₹4,500,000,000","Jan 16, 2024",4500000000,54000000,CID2988
KarmaLifeAI,Seed,"₹440,000,000","Jun 1, 2023",440000000,5280000,CID2989
WishCare,Series A,"₹200,000,000","Nov 8, 2023",200000000,2400000,CID2990
Corrit Electric,Angel,"$50,000,000","Feb 12, 2024",3750000000,45000000,CID2991
Battery Smart,Series B,"₹2,720,000,000","Jul 6, 2023",2720000000,32640000,CID2992
Varthana,Debt Financing,"₹1,160,000,000","Jan 9, 2024",1160000000,13920000,CID2993
Black Eye Technologies,Series A,"$1,000,000","Sep 5, 2022",75000000,900000,CID2994
Black Eye Technologies,Seed,"₹300,000","Aug 17, 2021",300000,3600,CID2995
Airattix,Seed,"₹23,000,000","Nov 16, 2023",23000000,276000,CID2996
Smartstaff,Series A,"$6,200,000","Jul 4, 2023",465000000,5580000,CID2997
Varco,Convertible Note,"₹20,000,000","Nov 6, 2023",20000000,240000,CID2998
Seeds Fincap,Series A,"₹320,000,000","Sep 15, 2023",320000000,3840000,CID2999
Exoticamp,Seed,"₹40,000,000","Oct 6, 2023",40000000,480000,CID3000
Eske,Seed,"₹120,000,000","Oct 10, 2023",120000000,1440000,CID3001
Purplle,Secondary Market,—,"Oct 4, 2023",0,0,CID3002
MyMuse India,Debt Financing,—,"Jan 9, 2024",0,0,CID3003
Reliance Retail,Private Equity,"$600,000,000","Oct 6, 2023",45000000000,540000000,CID3004
Cleardekho,Seed,"$2,000,000","Jan 9, 2020",150000000,1800000,CID3005
slice,Debt Financing,"₹750,000,000","Nov 14, 2023",750000000,9000000,CID3006
Hatchfast,Pre-Seed,"₹12,500,000","Oct 28, 2023",12500000,150000,CID3007
Flabs,Pre-Seed,"₹12,500,000","Oct 28, 2023",12500000,150000,CID3008
ImmersiveLabz,Seed,"$987,952","Jul 27, 2023",74096400,889156.8,CID3009
HYRGPT,Grant,"₹12,500,000","Oct 28, 2023",12500000,150000,CID3010
Digantara,Series A,"$10,000,000","Jun 20, 2023",750000000,9000000,CID3011
TVS Industrial & Logistics Parks,Secondary Market,"₹513,000,000","Sep 29, 2023",513000000,6156000,CID3012
Datavio,Pre-Seed,"₹12,500,000","Oct 28, 2023",12500000,150000,CID3013
MiClient,Pre-Seed,"₹12,500,000","Oct 28, 2023",12500000,150000,CID3014
DailyBee,Seed,"₹12,500,000","Oct 28, 2023",12500000,150000,CID3015
MediaMint,Private Equity,—,"Jul 27, 2023",0,0,CID3016
Idfc First Bank,Post-IPO Secondary,"₹24,803,000,000","Sep 1, 2023",24803000000,297636000,CID3017
Koparo Clean,Seed,"$1,500,000","Jun 6, 2023",112500000,1350000,CID3018
Leremitt,Seed,"$1,250,000","Jul 27, 2023",93750000,1125000,CID3019
Call of the Valley,Grant,"$150,000","Nov 4, 2023",11250000,135000,CID3020
Avenue Supermarts (D-Mart ),Private Equity,"₹5,610,000,000","Mar 7, 2017",5610000000,67320000,CID3021
MaxByte Technologies,Series A,"$5,000,000","Aug 22, 2023",375000000,4500000,CID3022
Sterlite Power,Private Equity,—,"Mar 1, 2021",0,0,CID3023
Adani New Industries,Debt Financing,"₹32,310,000,000","Jul 27, 2023",32310000000,387720000,CID3024
Enzen Global Solutions,Private Equity,—,"Jul 23, 2014",0,0,CID3025
Baboski,Grant,"$75,000","Nov 4, 2023",5625000,67500,CID3026
Reliance Industries,Post-IPO Debt,"₹200,000,000,000","Nov 9, 2023",2E+11,2400000000,CID3027
Jupiter Hospital,Venture - Series Unknown,"₹1,230,000,000","Aug 22, 2023",1230000000,14760000,CID3028
mirrAR,Funding Round,"₹100,000,000","Jan 1, 2023",100000000,1200000,CID3029
Datoms,Seed,"₹100,000,000","Oct 26, 2023",100000000,1200000,CID3030
JoGenii,Venture - Series Unknown,—,"Aug 17, 2023",0,0,CID3031
GTM Buddy,Seed,"$6,500,000","Dec 1, 2023",487500000,5850000,CID3032
Royal Brothers Bike Rentals,Corporate Round,—,"Nov 8, 2023",0,0,CID3033
Contiinex,Seed,"$2,000,000","Aug 17, 2023",150000000,1800000,CID3034
Reloy,Series A,"₹72,000,000","Jun 29, 2023",72000000,864000,CID3035
Biofuels Junction,Venture - Series Unknown,—,"Sep 8, 2023",0,0,CID3036
Switch My Loan,Seed,—,"Aug 22, 2023",0,0,CID3037
Zaggle,Private Equity,"₹730,000,000","Aug 18, 2023",730000000,8760000,CID3038
IIFL Finance,Post-IPO Debt,"$100,000,000","Aug 21, 2023",7500000000,90000000,CID3039
XMACHINES,Seed,—,"Nov 1, 2023",0,0,CID3040
Edelweiss Financial Services,Post-IPO Debt,"₹2,000,000,000","Oct 4, 2023",2000000000,24000000,CID3041
Adani Enterprises,Post-IPO Equity,—,"Oct 3, 2023",0,0,CID3042
Origo Commodities,Debt Financing,"$20,000,000","Oct 5, 2021",1500000000,18000000,CID3043
Drip Project,Seed,—,"Sep 29, 2023",0,0,CID3044
UcliQ,Angel,"₹7,000,000","Aug 3, 2023",7000000,84000,CID3045
Ather Energy,Venture - Series Unknown,"₹9,000,000,000","Sep 4, 2023",9000000000,108000000,CID3046
Bepure,Pre-Seed,"₹12,500,000","Oct 28, 2023",12500000,150000,CID3047
Nutrizoe,Convertible Note,"₹30,000,000","Jul 13, 2023",30000000,360000,CID3048
CIPACA,Grant,"₹20,000,000","Dec 28, 2023",20000000,240000,CID3049
CutBox,Pre-Seed,"₹12,500,000","Oct 28, 2023",12500000,150000,CID3050
Gopal Namkeen,Secondary Market,—,"Oct 31, 2023",0,0,CID3051
Evolved Foods,Seed,"₹75,000,000","Jun 15, 2023",75000000,900000,CID3052
HexaHealth,Seed,"$7,000,000","Sep 1, 2022",525000000,6300000,CID3053
MyMandi,Convertible Note,"₹100,000,000","Sep 28, 2023",100000000,1200000,CID3054
BabyChakra,Funding Round,—,"Sep 27, 2023",0,0,CID3055
Easiloan.com,Corporate Round,—,"Nov 2, 2023",0,0,CID3056
Algomage,Pre-Seed,—,"Sep 25, 2023",0,0,CID3057
Dr. Agarwal's,Post-IPO Equity,"₹6,500,000,000","Aug 17, 2023",6500000000,78000000,CID3058
RipenApps Technologies,Grant,"A$300,000","Oct 25, 2023",22500000,270000,CID3059
PropShare Capital,Series B,"$47,000,000","Jun 27, 2022",3525000000,42300000,CID3060
Jai Balaji Industries,Post-IPO Debt,"₹5,590,000,000","Dec 18, 2023",5590000000,67080000,CID3061
The 1% Club,Seed,"₹100,000,000","Oct 30, 2023",100000000,1200000,CID3062
ABI Health,Private Equity,"$10,000,000","Dec 18, 2023",750000000,9000000,CID3063
True Balance,Debt Financing,"₩30,000,000,000","Aug 9, 2023",0,0,CID3064
The Happiness Project,Pre-Seed,"₹12,500,000","Oct 28, 2023",12500000,150000,CID3065
The Fuel Delivery,Seed,"₹164,000,000","Aug 1, 2023",164000000,1968000,CID3066
Arthum,Pre-Seed,"₹12,500,000","Oct 28, 2023",12500000,150000,CID3067
Buckmint,Pre-Seed,"₹12,500,000","Oct 28, 2023",12500000,150000,CID3068
Sprentzo,Seed,"₹12,500,000","Oct 28, 2023",12500000,150000,CID3069
Castler,Seed,"$500,000","Sep 25, 2023",37500000,450000,CID3070
Red Basil Technologies,Seed,—,"Jul 24, 2023",0,0,CID3071
